Rk,Team,Date,xG,Venue,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
1,Hoffenheim,2023-05-27,0.8,@,Stuttgart,de Bundesliga,D 1-1,1,1,0,43,1,0,0,0,0.8,0.8,-1.6,-1.6,0.8,0.7,+0.2,+0.2,+0.2,0.11,8,0.13,0.5,2,25,20,0,Match Report
2,Bayern Munich,2023-05-27,1.3,@,Köln,de Bundesliga,W 2-1,2,1,+1,53,2,0,0,0,1.3,1.3,0,+0.8,1.1,0.9,+0.7,+0.7,+0.9,0.11,12,0.17,0.5,4,33.3,13.1,0,Match Report
3,Augsburg,2023-05-27,0.5,@,Gladbach,de Bundesliga,L 0-2,0,2,-2,26,0,0,0,0,0.5,0.5,-2.5,-2.5,0.5,0.5,-0.5,-0.5,-0.5,0.06,9,0,0,2,22.2,17.9,1,Match Report
4,Hertha BSC,2023-05-27,2.1,@,Wolfsburg,de Bundesliga,W 2-1,2,1,+1,36,2,0,0,0,2.1,2.1,-1.3,-1.3,2,1.2,-0.1,-0.1,-1,0.26,8,0.25,0.4,5,62.5,14.8,0,Match Report
5,Gladbach,2023-05-27,3,,Augsburg,de Bundesliga,W 2-0,2,0,+2,74,2,0,0,0,3,3,+2.5,+2.5,3,2.2,-1,-1,-1,0.17,19,0.11,0.29,7,36.8,17.3,2,Match Report
6,Wolfsburg,2023-05-27,3.4,,Hertha BSC,de Bundesliga,L 1-2,1,2,-1,64,1,0,0,0,3.4,3.4,+1.3,+1.3,2.9,2,-2.4,-2.4,-1.9,0.17,20,0.05,0.14,7,35,13.8,0,Match Report
7,Stuttgart,2023-05-27,2.5,,Hoffenheim,de Bundesliga,D 1-1,1,1,0,57,1,0,0,0,2.5,2.5,+1.6,+1.6,2.1,2.3,-1.5,-1.5,-1.1,0.11,23,0.04,0.25,4,17.4,17.2,1,Match Report
8,Werder Bremen,2023-05-27,0.4,@,Union Berlin,de Bundesliga,L 0-1,0,1,-1,52,0,0,0,0,0.4,0.4,-0.5,-0.5,0.2,0.4,-0.4,-0.4,-0.2,0.06,7,0,0,3,42.9,21.2,1,Match Report
9,Union Berlin,2023-05-27,0.9,,Werder Bremen,de Bundesliga,W 1-0,1,0,+1,48,1,0,0,0,0.9,0.9,+0.5,+0.5,0.6,1.3,+0.1,+0.1,+0.4,0.06,15,0.07,0.25,4,26.7,17.5,1,Match Report
10,Mainz 05,2023-05-27,1.8,@,Dortmund,de Bundesliga,D 2-2,2,2,0,27,2,0,0,0,1.8,1.8,-2.1,-1.3,1.8,1.2,+0.2,+0.2,+0.2,0.18,10,0.2,0.5,4,40,21.6,1,Match Report
11,Freiburg,2023-05-27,1.6,@,Eint Frankfurt,de Bundesliga,L 1-2,1,2,-1,39,1,0,0,0,1.6,1.6,-0.4,-0.4,0.8,0.9,-0.6,-0.6,-0.8,0.12,14,0.07,0.14,7,50,16.1,1,Match Report
12,RB Leipzig,2023-05-27,2.6,,Schalke 04,de Bundesliga,W 4-2,4,2,+2,51,4,0,0,0,2.6,2.6,+1.4,+1.4,2.2,1.6,+1.4,+1.4,+0.8,0.15,18,0.22,0.36,11,61.1,17.7,0,Match Report
13,Dortmund,2023-05-27,4,,Mainz 05,de Bundesliga,D 2-2,2,2,0,73,2,0,1,1,4,3.2,+2.1,+1.3,3,2.7,-2,-1.2,-1,0.11,28,0.07,0.22,9,32.1,15,0,Match Report
14,Bochum,2023-05-27,1.3,,Leverkusen,de Bundesliga,W 3-0,3,0,+3,50,3,0,0,0,1.3,1.3,+0.5,+0.5,1.3,1.3,+1.7,+1.7,+1.7,0.11,12,0.25,0.6,5,41.7,14.5,0,Match Report
15,Köln,2023-05-27,1.3,,Bayern Munich,de Bundesliga,L 1-2,1,2,-1,47,0,1,1,0,1.3,0.5,0,-0.8,0.5,0.8,-0.3,-0.5,-0.5,0.07,7,0,0,1,14.3,18.7,0,Match Report
16,Schalke 04,2023-05-27,1.2,@,RB Leipzig,de Bundesliga,L 2-4,2,4,-2,49,1,0,0,0,1.2,1.2,-1.4,-1.4,1.2,1.5,-0.2,-0.2,-0.2,0.08,15,0.07,0.25,4,26.7,12.9,0,Match Report
17,Leverkusen,2023-05-27,0.8,@,Bochum,de Bundesliga,L 0-3,0,3,-3,50,0,0,0,0,0.8,0.8,-0.5,-0.5,0.4,0.5,-0.8,-0.8,-0.4,0.08,11,0,0,2,18.2,16.2,1,Match Report
18,Eint Frankfurt,2023-05-27,2.1,,Freiburg,de Bundesliga,W 2-1,2,1,+1,61,2,0,0,0,2.1,2.1,+0.4,+0.4,0.9,0.5,-0.1,-0.1,+0.1,0.15,15,0.13,0.33,6,40,14.5,0,Match Report
19,Augsburg,2023-05-21,0.2,,Dortmund,de Bundesliga,L 0-3,0,3,-3,36,0,0,0,0,0.2,0.2,-2.8,-2.8,0.2,0.5,-0.2,-0.2,-0.2,0.06,4,0,0,1,25,26.1,1,Match Report
20,Gladbach,2023-05-21,1.7,@,Leverkusen,de Bundesliga,D 2-2,2,2,0,53,2,0,0,0,1.7,1.7,+0.1,+0.1,1,1.2,+0.3,+0.3,0,0.15,11,0.18,0.33,6,54.5,14.3,0,Match Report
21,Stuttgart,2023-05-21,1.8,@,Mainz 05,de Bundesliga,W 4-1,4,1,+3,53,4,0,0,0,1.8,1.8,+0.5,+0.5,1.5,0.9,+2.2,+2.2,+1.5,0.25,7,0.57,0.67,6,85.7,13.8,1,Match Report
22,Mainz 05,2023-05-21,1.3,,Stuttgart,de Bundesliga,L 1-4,1,4,-3,47,1,0,0,0,1.3,1.3,-0.5,-0.5,0.4,0.6,-0.3,-0.3,-0.4,0.14,10,0.1,0.17,6,60,17.9,2,Match Report
23,Dortmund,2023-05-21,3.1,@,Augsburg,de Bundesliga,W 3-0,3,0,+3,64,3,0,0,0,3.1,3.1,+2.8,+2.8,2.1,1.8,-0.1,-0.1,-1.1,0.12,28,0.11,0.3,10,35.7,16.9,1,Match Report
24,Leverkusen,2023-05-21,1.6,,Gladbach,de Bundesliga,D 2-2,2,2,0,47,2,0,0,0,1.6,1.6,-0.1,-0.1,1.2,1.6,+0.4,+0.4,+0.8,0.13,13,0.15,0.4,5,38.5,14.8,0,Match Report
25,Hoffenheim,2023-05-20,2.4,,Union Berlin,de Bundesliga,W 4-2,4,2,+2,43,3,1,1,0,2.4,1.6,+0.5,-0.3,1.3,0.9,+1.6,+1.4,+0.7,0.18,9,0.33,0.75,4,44.4,18.1,0,Match Report
26,Bayern Munich,2023-05-20,1.6,,RB Leipzig,de Bundesliga,L 1-3,1,3,-2,60,1,0,0,0,1.6,1.6,-1.1,+0.2,1.4,2,-0.6,-0.6,-0.4,0.1,17,0.06,0.2,5,29.4,18.3,0,Match Report
27,Hertha BSC,2023-05-20,1.2,,Bochum,de Bundesliga,D 1-1,1,1,0,50,1,0,0,0,1.2,1.2,0,0,1.1,0.8,-0.2,-0.2,-0.1,0.08,14,0.07,0.33,3,21.4,18.4,0,Match Report
28,Werder Bremen,2023-05-20,1.8,,Köln,de Bundesliga,D 1-1,1,1,0,44,1,0,0,0,1.8,1.8,+0.4,+0.4,1.7,1.1,-0.8,-0.8,-0.7,0.14,14,0.07,0.17,6,42.9,16.9,1,Match Report
29,Union Berlin,2023-05-20,2,@,Hoffenheim,de Bundesliga,L 2-4,2,4,-2,57,2,0,0,0,2,2,-0.5,+0.3,1.9,1.8,0,0,+0.1,0.11,18,0.11,0.67,3,16.7,16.1,1,Match Report
30,RB Leipzig,2023-05-20,2.8,@,Bayern Munich,de Bundesliga,W 3-1,3,1,+2,40,1,2,2,0,2.8,1.4,+1.1,-0.2,0.7,0.5,+0.2,-0.4,-0.7,0.12,12,0.08,0.2,5,41.7,20.2,0,Match Report
31,Bochum,2023-05-20,1.1,@,Hertha BSC,de Bundesliga,D 1-1,1,1,0,50,1,0,0,0,1.1,1.1,0,0,1.1,1.7,-0.1,-0.1,-0.1,0.07,16,0.06,0.25,4,25,21.2,0,Match Report
32,Köln,2023-05-20,1.4,@,Werder Bremen,de Bundesliga,D 1-1,1,1,0,56,1,0,0,0,1.4,1.4,-0.4,-0.4,1.2,0.9,-0.4,-0.4,-0.2,0.11,13,0.08,0.25,4,30.8,14.1,0,Match Report
33,Schalke 04,2023-05-20,1,,Eint Frankfurt,de Bundesliga,D 2-2,2,2,0,50,2,0,0,0,1,1,-0.6,-0.6,0.8,1.5,+1.0,+1.0,+1.2,0.09,11,0.18,0.5,4,36.4,15.7,1,Match Report
34,Eint Frankfurt,2023-05-20,1.6,@,Schalke 04,de Bundesliga,D 2-2,2,2,0,50,2,0,0,0,1.6,1.6,+0.6,+0.6,1.6,1.3,+0.4,+0.4,+0.4,0.27,6,0.33,1,2,33.3,14.5,0,Match Report
35,Wolfsburg,2023-05-19,0.7,@,Freiburg,de Bundesliga,L 0-2,0,2,-2,57,0,0,0,0,0.7,0.7,-0.6,-0.6,0.6,0.8,-0.7,-0.7,-0.6,0.08,9,0,0,2,22.2,16.4,0,Match Report
36,Freiburg,2023-05-19,1.3,,Wolfsburg,de Bundesliga,W 2-0,2,0,+2,43,2,0,0,0,1.3,1.3,+0.6,+0.6,1.1,1.3,+0.7,+0.7,+0.9,0.08,16,0.13,0.29,7,43.8,17.5,0,Match Report
37,Stuttgart,2023-05-14,1.3,,Leverkusen,de Bundesliga,D 1-1,1,1,0,52,0,1,1,0,1.3,0.6,-0.5,-0.5,0.6,0.9,-0.3,-0.6,-0.6,0.07,8,0,,0,0,15.8,0,Match Report
38,Werder Bremen,2023-05-14,1.1,@,RB Leipzig,de Bundesliga,L 1-2,1,2,-1,39,1,0,0,0,1.1,1.1,-1,-1,0.8,1,-0.1,-0.1,+0.2,0.19,6,0.17,0.5,2,33.3,13.6,0,Match Report
39,RB Leipzig,2023-05-14,2.2,,Werder Bremen,de Bundesliga,W 2-1,2,1,+1,61,2,0,0,0,2.2,2.2,+1.0,+1.0,2,2.6,-0.2,-0.2,0,0.11,20,0.1,0.29,7,35,19,2,Match Report
40,Leverkusen,2023-05-14,1.8,@,Stuttgart,de Bundesliga,D 1-1,1,1,0,48,0,1,1,0,1.8,1.1,+0.5,+0.5,1.1,1,-0.8,-1.1,-1.1,0.1,11,0,0,1,9.1,16.8,0,Match Report
41,Hoffenheim,2023-05-13,1,@,Wolfsburg,de Bundesliga,L 1-2,1,2,-1,54,0,0,0,0,1,1,-0.1,-0.1,0.3,0.5,-1,-1,-0.3,0.1,10,0,0,2,20,19.3,0,Match Report
42,Bayern Munich,2023-05-13,5.3,,Schalke 04,de Bundesliga,W 6-0,6,0,+6,62,5,1,1,0,5.3,4.5,+4.9,+4.1,2.4,2.3,+0.7,+0.5,+1.6,0.19,24,0.21,0.42,12,50,16.5,1,Match Report
43,Augsburg,2023-05-13,1.8,@,Bochum,de Bundesliga,L 2-3,2,3,-1,45,2,0,0,0,1.8,1.8,+0.5,+0.5,1.5,1,+0.2,+0.2,+0.5,0.13,15,0.13,1,2,13.3,13,1,Match Report
44,Gladbach,2023-05-13,2,@,Dortmund,de Bundesliga,L 2-5,2,5,-3,46,1,1,1,0,2,1.2,-2.6,-2.6,1.1,1,0,-0.2,-0.1,0.1,12,0.08,0.17,6,50,21,1,Match Report
45,Wolfsburg,2023-05-13,1.1,,Hoffenheim,de Bundesliga,W 2-1,2,1,+1,46,2,0,0,0,1.1,1.1,+0.1,+0.1,0.9,0.8,+0.9,+0.9,+1.1,0.13,9,0.22,0.67,3,33.3,20.5,0,Match Report
46,Union Berlin,2023-05-13,1.5,,Freiburg,de Bundesliga,W 4-2,4,2,+2,37,4,0,0,0,1.5,1.5,-0.6,+0.2,1.4,1,+2.5,+2.5,+2.6,0.15,10,0.4,1,4,40,17.1,1,Match Report
47,Mainz 05,2023-05-13,1,@,Eint Frankfurt,de Bundesliga,L 0-3,0,3,-3,45,0,0,0,0,1,1,-1.2,-0.4,0.7,0.6,-1,-1,-0.7,0.12,9,0,0,3,33.3,18.2,1,Match Report
48,Freiburg,2023-05-13,2.1,@,Union Berlin,de Bundesliga,L 2-4,2,4,-2,63,1,1,1,0,2.1,1.3,+0.6,-0.2,1.1,0.8,-0.1,-0.3,-0.1,0.13,10,0.1,0.25,4,40,15,0,Match Report
49,Dortmund,2023-05-13,4.5,,Gladbach,de Bundesliga,W 5-2,5,2,+3,54,4,1,1,0,4.5,3.7,+2.6,+2.6,1.3,1.6,+0.5,+0.3,+0.7,0.14,33,0.12,0.36,11,33.3,18.5,1,Match Report
50,Bochum,2023-05-13,1.2,,Augsburg,de Bundesliga,W 3-2,3,2,+1,55,2,0,0,0,1.2,1.2,-0.5,-0.5,1,1.1,+0.8,+0.8,+1.0,0.1,13,0.15,0.25,8,61.5,18,0,Match Report
51,Schalke 04,2023-05-13,0.4,@,Bayern Munich,de Bundesliga,L 0-6,0,6,-6,38,0,0,0,0,0.4,0.4,-4.9,-4.1,0.4,0.5,-0.4,-0.4,-0.4,0.05,8,0,,0,0,20.9,0,Match Report
52,Eint Frankfurt,2023-05-13,2.2,,Mainz 05,de Bundesliga,W 3-0,3,0,+3,55,2,1,1,0,2.2,1.5,+1.2,+0.4,1.3,1.5,+0.8,+0.5,+0.7,0.09,17,0.12,0.4,5,29.4,18.3,0,Match Report
53,Hertha BSC,2023-05-12,1.1,@,Köln,de Bundesliga,L 2-5,2,5,-3,37,2,0,0,0,1.1,1.1,-3.2,-3.2,0.5,0.6,+0.9,+0.9,+0.5,0.12,9,0.22,0.67,3,33.3,15.4,0,Match Report
54,Köln,2023-05-12,4.3,,Hertha BSC,de Bundesliga,W 5-2,5,2,+3,63,5,0,0,0,4.3,4.3,+3.2,+3.2,4,3.9,+0.7,+0.7,0,0.14,31,0.16,0.31,16,51.6,13.1,0,Match Report
55,Wolfsburg,2023-05-07,1.2,@,Dortmund,de Bundesliga,L 0-6,0,6,-6,43,0,0,0,0,1.2,1.2,-3,-2.2,1.4,0.4,-1.2,-1.2,-1.4,0.14,10,0,0,3,30,18.6,0,Match Report
56,Dortmund,2023-05-07,4.2,,Wolfsburg,de Bundesliga,W 6-0,6,0,+6,57,6,0,1,1,4.2,3.4,+3.0,+2.2,3.2,3.8,+1.8,+2.6,+2.8,0.18,19,0.32,0.6,10,52.6,18.4,1,Match Report
