Rk,Team,Date,xG,Venue,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
57,Hoffenheim,2023-05-06,2.2,,Eint Frankfurt,de Bundesliga,W 3-1,3,1,+2,32,2,1,1,0,2.2,1.4,0,-0.8,1.4,1.5,+0.8,+0.6,+0.6,0.21,7,0.29,0.67,3,42.9,18.6,1,Match Report
58,Bayern Munich,2023-05-06,1.4,@,Werder Bremen,de Bundesliga,W 2-1,2,1,+1,67,2,0,0,0,1.4,1.4,+0.6,+0.6,0.9,1.4,+0.6,+0.6,+0.1,0.11,13,0.15,0.5,4,30.8,14.7,0,Match Report
59,Augsburg,2023-05-06,0.9,,Union Berlin,de Bundesliga,W 1-0,1,0,+1,38,1,0,0,0,0.9,0.9,+0.1,+0.1,0.7,0.6,+0.1,+0.1,+0.3,0.07,13,0.08,0.33,3,23.1,21.7,1,Match Report
60,Hertha BSC,2023-05-06,1.2,,Stuttgart,de Bundesliga,W 2-1,2,1,+1,30,2,0,0,0,1.2,1.2,-0.3,-0.3,1.2,1.3,+0.8,+0.8,+0.8,0.17,7,0.29,0.67,3,42.9,15.3,0,Match Report
61,Gladbach,2023-05-06,1.9,,Bochum,de Bundesliga,W 2-0,2,0,+2,55,2,0,0,0,1.9,1.9,+0.9,+0.9,1.5,1.4,+0.1,+0.1,-0.5,0.08,25,0.08,0.22,9,36,16.9,0,Match Report
62,Stuttgart,2023-05-06,1.5,@,Hertha BSC,de Bundesliga,L 1-2,1,2,-1,70,1,0,0,0,1.5,1.5,+0.3,+0.3,1.3,1.3,-0.5,-0.5,-0.3,0.11,14,0.07,0.25,4,28.6,17.8,1,Match Report
63,Werder Bremen,2023-05-06,0.7,,Bayern Munich,de Bundesliga,L 1-2,1,2,-1,33,1,0,0,0,0.7,0.7,-0.6,-0.6,0.6,0.7,+0.3,+0.3,+0.4,0.06,13,0.08,0.5,2,15.4,21.4,0,Match Report
64,Union Berlin,2023-05-06,0.7,@,Augsburg,de Bundesliga,L 0-1,0,1,-1,62,0,0,0,0,0.7,0.7,-0.1,-0.1,0.7,0.8,-0.7,-0.7,-0.7,0.06,12,0,0,5,41.7,19,0,Match Report
65,Freiburg,2023-05-06,0.4,,RB Leipzig,de Bundesliga,L 0-1,0,1,-1,41,0,0,0,0,0.4,0.4,-1.5,-1.5,0.3,0.4,-0.4,-0.4,-0.3,0.15,3,0,0,1,33.3,12.2,0,Match Report
66,RB Leipzig,2023-05-06,1.9,@,Freiburg,de Bundesliga,W 1-0,1,0,+1,59,1,0,0,0,1.9,1.9,+1.5,+1.5,1.2,1.9,-0.9,-0.9,-1.2,0.16,13,0.08,0.2,5,38.5,18.7,0,Match Report
67,Bochum,2023-05-06,1.1,@,Gladbach,de Bundesliga,L 0-2,0,2,-2,45,0,0,0,0,1.1,1.1,-0.9,-0.9,0.8,0.5,-1.1,-1.1,-0.8,0.08,14,0,0,2,14.3,18.2,2,Match Report
68,Eint Frankfurt,2023-05-06,2.2,@,Hoffenheim,de Bundesliga,L 1-3,1,3,-2,68,1,0,0,0,2.2,2.2,0,+0.8,1.5,2.1,-1.2,-1.2,-1.5,0.12,19,0.05,0.17,6,31.6,16.2,0,Match Report
69,Mainz 05,2023-05-05,1.3,,Schalke 04,de Bundesliga,L 2-3,2,3,-1,57,2,0,0,0,1.3,1.3,-1.6,-1.1,1.1,0.7,+0.7,+0.7,-0.1,0.14,10,0.2,0.5,4,40,13.2,1,Match Report
70,Köln,2023-05-05,0.8,@,Leverkusen,de Bundesliga,W 2-1,2,1,+1,36,2,0,0,0,0.8,0.8,-0.1,-0.1,0.7,0.5,+1.2,+1.2,+1.3,0.11,7,0.29,0.4,5,71.4,18.7,0,Match Report
71,Schalke 04,2023-05-05,2.9,@,Mainz 05,de Bundesliga,W 3-2,3,2,+1,43,2,1,1,0,2.9,2.4,+1.6,+1.1,2.3,1,+0.1,-0.4,-0.3,0.16,15,0.13,0.22,9,60,18.9,0,Match Report
72,Leverkusen,2023-05-05,0.9,,Köln,de Bundesliga,L 1-2,1,2,-1,64,1,0,0,0,0.9,0.9,+0.1,+0.1,0.7,0.8,+0.1,+0.1,+0.3,0.07,13,0.08,0.33,3,23.1,16.7,1,Match Report
73,Bayern Munich,2023-04-30,2.7,,Hertha BSC,de Bundesliga,W 2-0,2,0,+2,80,2,0,0,0,2.7,2.7,+2.6,+2.6,2.5,3,-0.7,-0.7,-0.5,0.1,26,0.08,0.22,9,34.6,16.3,1,Match Report
74,Hertha BSC,2023-04-30,0.1,@,Bayern Munich,de Bundesliga,L 0-2,0,2,-2,20,0,0,0,0,0.1,0.1,-2.6,-2.6,0.1,0.1,-0.1,-0.1,-0.1,0.05,2,0,0,1,50,13.3,0,Match Report
75,Wolfsburg,2023-04-30,1.9,,Mainz 05,de Bundesliga,W 3-0,3,0,+3,51,3,0,0,0,1.9,1.9,+0.2,+0.2,1.8,1.2,+1.1,+1.1,+1.2,0.19,10,0.3,0.75,4,40,12.5,0,Match Report
76,Mainz 05,2023-04-30,1.7,@,Wolfsburg,de Bundesliga,L 0-3,0,3,-3,49,0,0,0,0,1.7,1.7,-0.2,-0.2,1.6,1.3,-1.7,-1.7,-1.6,0.18,10,0,0,2,20,13.4,0,Match Report
77,Hoffenheim,2023-04-29,0.3,@,RB Leipzig,de Bundesliga,L 0-1,0,1,-1,41,0,0,0,0,0.3,0.3,-1.1,-1.1,0.3,0.9,-0.3,-0.3,-0.3,0.07,5,0,0,1,20,15.3,0,Match Report
78,Augsburg,2023-04-29,0.7,@,Eint Frankfurt,de Bundesliga,D 1-1,1,1,0,41,1,0,0,0,0.7,0.7,+0.1,+0.1,0.5,0.4,+0.3,+0.3,+0.5,0.07,10,0.1,0.33,3,30,18.9,0,Match Report
79,Gladbach,2023-04-29,1.2,@,Stuttgart,de Bundesliga,L 1-2,1,2,-1,58,0,1,1,0,1.2,0.5,-1.1,-1.1,0.4,0.4,-0.2,-0.5,-0.4,0.06,8,0,0,3,37.5,21.1,0,Match Report
80,Stuttgart,2023-04-29,2.3,,Gladbach,de Bundesliga,W 2-1,2,1,+1,42,1,1,1,0,2.3,1.5,+1.1,+1.1,1.3,1,-0.3,-0.5,-0.3,0.1,16,0.06,0.25,4,25,17.9,0,Match Report
81,Werder Bremen,2023-04-29,1.2,@,Schalke 04,de Bundesliga,L 1-2,1,2,-1,43,1,0,0,0,1.2,1.2,-0.4,-0.4,1.1,0.8,-0.2,-0.2,-0.1,0.12,10,0.1,1,1,10,20.8,2,Match Report
82,Union Berlin,2023-04-29,0.8,,Leverkusen,de Bundesliga,D 0-0,0,0,0,35,0,0,0,0,0.8,0.8,0,0,0.7,0.6,-0.8,-0.8,-0.7,0.09,9,0,0,1,11.1,14.5,0,Match Report
83,Freiburg,2023-04-29,1.6,@,Köln,de Bundesliga,W 1-0,1,0,+1,43,1,0,0,0,1.6,1.6,0,0,0.9,1,-0.6,-0.6,+0.1,0.12,13,0.08,0.17,6,46.2,16.2,0,Match Report
84,RB Leipzig,2023-04-29,1.4,,Hoffenheim,de Bundesliga,W 1-0,1,0,+1,59,1,0,0,0,1.4,1.4,+1.1,+1.1,1.2,1.2,-0.4,-0.4,-0.2,0.09,15,0.07,0.5,2,13.3,15,0,Match Report
85,Köln,2023-04-29,1.6,,Freiburg,de Bundesliga,L 0-1,0,1,-1,57,0,0,0,0,1.6,1.6,0,0,1.3,1.5,-1.6,-1.6,-1.3,0.08,19,0,0,4,21.1,16.9,0,Match Report
86,Schalke 04,2023-04-29,1.6,,Werder Bremen,de Bundesliga,W 2-1,2,1,+1,57,2,0,0,0,1.6,1.6,+0.4,+0.4,1.3,1.5,+0.4,+0.4,+0.7,0.08,19,0.11,0.2,10,52.6,16.4,2,Match Report
87,Leverkusen,2023-04-29,0.8,@,Union Berlin,de Bundesliga,D 0-0,0,0,0,65,0,0,0,0,0.8,0.8,0,0,0.6,1.2,-0.8,-0.8,-0.6,0.08,9,0,0,1,11.1,15.2,0,Match Report
88,Eint Frankfurt,2023-04-29,0.6,,Augsburg,de Bundesliga,D 1-1,1,1,0,59,0,0,0,0,0.6,0.6,-0.1,-0.1,0.4,1,-0.6,-0.6,-0.4,0.08,7,0,0,1,14.3,18.6,0,Match Report
89,Dortmund,2023-04-28,2.7,@,Bochum,de Bundesliga,D 1-1,1,1,0,66,1,0,0,0,2.7,2.7,+1.7,+1.7,2.4,2.2,-1.7,-1.7,-1.4,0.13,22,0.05,0.14,7,31.8,14.1,0,Match Report
90,Bochum,2023-04-28,0.9,,Dortmund,de Bundesliga,D 1-1,1,1,0,34,1,0,0,0,0.9,0.9,-1.7,-1.7,0.6,0.8,+0.1,+0.1,-0.6,0.07,13,0.08,0.25,4,30.8,17.7,0,Match Report
91,Gladbach,2023-04-23,0.7,,Union Berlin,de Bundesliga,L 0-1,0,1,-1,62,0,0,0,0,0.7,0.7,-0.7,-0.7,0.7,1.5,-0.7,-0.7,-0.7,0.08,8,0,0,4,50,18,0,Match Report
92,Union Berlin,2023-04-23,1.3,@,Gladbach,de Bundesliga,W 1-0,1,0,+1,38,1,0,0,0,1.3,1.3,+0.7,+0.7,1.2,0.6,-0.3,-0.3,-0.2,0.1,13,0.08,0.5,2,15.4,18.9,0,Match Report
93,Freiburg,2023-04-23,2.1,,Schalke 04,de Bundesliga,W 4-0,4,0,+4,45,4,0,0,0,2.1,2.1,+1.8,+1.8,1.6,1.1,+1.9,+1.9,+1.4,0.08,26,0.15,0.33,12,46.2,16.6,0,Match Report
94,RB Leipzig,2023-04-23,1.9,@,Leverkusen,de Bundesliga,L 0-2,0,2,-2,69,0,0,0,0,1.9,1.9,+0.8,+1.6,1.4,1.2,-1.9,-1.9,-1.4,0.08,26,0,0,5,19.2,20,3,Match Report
95,Schalke 04,2023-04-23,0.3,@,Freiburg,de Bundesliga,L 0-4,0,4,-4,55,0,0,0,0,0.3,0.3,-1.8,-1.8,0.2,0.4,-0.3,-0.3,-0.2,0.04,9,0,0,3,33.3,18.7,0,Match Report
96,Leverkusen,2023-04-23,1.1,,RB Leipzig,de Bundesliga,W 2-0,2,0,+2,31,1,1,1,0,1.1,0.3,-0.8,-1.6,0.3,0.3,+0.9,+0.7,+0.7,0.06,6,0.17,0.33,3,50,26,0,Match Report
97,Hoffenheim,2023-04-22,0.9,,Köln,de Bundesliga,L 1-3,1,3,-2,54,1,0,0,0,0.9,0.9,-0.8,0,0.8,1.2,+0.1,+0.1,-0.8,0.08,12,0.08,0.25,4,33.3,18.9,1,Match Report
98,Bayern Munich,2023-04-22,1.9,@,Mainz 05,de Bundesliga,L 1-3,1,3,-2,74,1,0,0,0,1.9,1.9,+0.4,+0.4,1.8,1.8,-0.9,-0.9,-0.8,0.18,11,0.09,0.5,2,18.2,14.3,0,Match Report
99,Hertha BSC,2023-04-22,1.6,,Werder Bremen,de Bundesliga,L 2-4,2,4,-2,54,1,1,1,0,1.6,0.8,-0.4,-1.2,0.4,0.9,+0.4,+0.2,+0.6,0.06,13,0.08,0.25,4,30.8,22,0,Match Report
100,Wolfsburg,2023-04-22,3.6,@,Bochum,de Bundesliga,W 5-1,5,1,+4,45,5,0,1,1,3.6,2.6,+1.0,0,1.7,1.8,+1.4,+2.4,+1.3,0.19,14,0.36,0.71,7,50,15,0,Match Report
101,Werder Bremen,2023-04-22,2,@,Hertha BSC,de Bundesliga,W 4-2,4,2,+2,46,4,0,0,0,2,2,+0.4,+1.2,1.6,1.9,+2.0,+2.0,+1.4,0.16,13,0.31,1,4,30.8,13.6,1,Match Report
102,Mainz 05,2023-04-22,1.6,,Bayern Munich,de Bundesliga,W 3-1,3,1,+2,26,3,0,0,0,1.6,1.6,-0.4,-0.4,0.7,0.5,+1.4,+1.4,+1.3,0.14,12,0.25,0.75,4,33.3,17.3,0,Match Report
103,Dortmund,2023-04-22,1.1,,Eint Frankfurt,de Bundesliga,W 4-0,4,0,+4,55,4,0,0,0,1.1,1.1,+0.6,+0.6,0.9,1,+2.9,+2.9,+3.1,0.08,14,0.29,0.57,7,50,16.9,1,Match Report
104,Bochum,2023-04-22,2.6,,Wolfsburg,de Bundesliga,L 1-5,1,5,-4,55,1,0,0,0,2.6,2.6,-1,0,1.5,2.1,-1.6,-1.6,-1.5,0.13,24,0.04,0.17,6,25,14.5,1,Match Report
105,Köln,2023-04-22,1.7,@,Hoffenheim,de Bundesliga,W 3-1,3,1,+2,46,2,1,1,0,1.7,0.9,+0.8,0,0.8,1,+1.3,+1.1,+0.2,0.08,12,0.17,0.4,5,41.7,19,0,Match Report
106,Eint Frankfurt,2023-04-22,0.6,@,Dortmund,de Bundesliga,L 0-4,0,4,-4,45,0,0,0,0,0.6,0.6,-0.6,-0.6,0.5,1,-0.6,-0.6,-0.5,0.06,9,0,0,2,22.2,15.8,0,Match Report
107,Augsburg,2023-04-21,0.7,,Stuttgart,de Bundesliga,D 1-1,1,1,0,38,1,0,0,0,0.7,0.7,-0.4,-0.4,0.6,0.6,+0.3,+0.3,+0.4,0.17,4,0.25,1,1,25,19.1,1,Match Report
