Rk,Team,Date,xG,Venue,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
1,Hoffenheim,2022-05-14,1.6,@,Gladbach,de Bundesliga,L 1-5,1,5,-4,45,1,0,0,0,1.6,1.6,-1.6,-0.8,1.5,1.3,-0.6,-0.6,-0.5,0.16,10,0.1,0.5,2,20,17,1,Match Report
2,Bayern Munich,2022-05-14,2.1,@,Wolfsburg,de Bundesliga,D 2-2,2,2,0,67,2,0,0,0,2.1,2.1,+0.7,+0.7,2,2.7,-0.1,-0.1,0,0.08,26,0.08,0.25,8,30.8,17.1,0,Match Report
3,Augsburg,2022-05-14,1.1,,Greuther Fürth,de Bundesliga,W 2-1,2,1,+1,49,1,1,1,0,1.1,0.3,+0.7,-0.1,0.3,0.5,+0.9,+0.7,+0.7,0.05,7,0.14,0.5,2,28.6,18.3,1,Match Report
4,Greuther Fürth,2022-05-14,0.5,@,Augsburg,de Bundesliga,L 1-2,1,2,-1,51,1,0,0,0,0.5,0.5,-0.7,+0.1,0.4,0.4,+0.5,+0.5,+0.6,0.07,7,0.14,0.25,4,57.1,19.9,0,Match Report
5,Arminia,2022-05-14,1.6,,RB Leipzig,de Bundesliga,D 1-1,1,1,0,42,1,0,0,0,1.6,1.6,-1.4,-1.4,0.3,0.2,-0.6,-0.6,+0.7,0.19,9,0.11,0.25,4,44.4,14.4,0,Match Report
6,Hertha BSC,2022-05-14,1,@,Dortmund,de Bundesliga,L 1-2,1,2,-1,27,0,1,1,0,1,0.2,-0.4,-0.5,0.2,0.2,0,-0.2,-0.2,0.04,4,0,,0,0,21.4,0,Match Report
7,Gladbach,2022-05-14,3.2,,Hoffenheim,de Bundesliga,W 5-1,5,1,+4,55,4,1,1,0,3.2,2.4,+1.6,+0.8,1.5,1.2,+1.8,+1.6,+0.5,0.15,17,0.24,0.5,8,47.1,15.1,0,Match Report
8,Wolfsburg,2022-05-14,1.5,,Bayern Munich,de Bundesliga,D 2-2,2,2,0,33,2,0,0,0,1.5,1.5,-0.7,-0.7,1.4,1.1,+0.5,+0.5,+0.6,0.16,9,0.22,1,2,22.2,18.3,0,Match Report
9,Stuttgart,2022-05-14,3.9,,Köln,de Bundesliga,W 2-1,2,1,+1,34,2,0,1,1,3.9,3.1,+2.7,+1.9,2.1,1.7,-1.9,-1.1,-0.1,0.14,23,0.09,0.18,11,47.8,15.8,0,Match Report
10,Union Berlin,2022-05-14,2.6,,Bochum,de Bundesliga,W 3-2,3,2,+1,43,2,1,1,0,2.6,1.9,+2.4,+1.7,1.3,1.1,+0.4,+0.1,-0.3,0.13,15,0.13,0.2,10,66.7,14.8,0,Match Report
11,Mainz 05,2022-05-14,1.3,,Eint Frankfurt,de Bundesliga,D 2-2,2,2,0,49,2,0,0,0,1.3,1.3,-0.4,-0.4,0.8,1,+0.7,+0.7,+0.2,0.1,13,0.15,0.5,4,30.8,14.8,1,Match Report
12,Freiburg,2022-05-14,1.1,@,Leverkusen,de Bundesliga,L 1-2,1,2,-1,47,1,0,0,0,1.1,1.1,-1.1,-1.1,0.9,1.4,-0.1,-0.1,+0.1,0.08,13,0.08,0.5,2,15.4,15.3,0,Match Report
13,RB Leipzig,2022-05-14,3,@,Arminia,de Bundesliga,D 1-1,1,1,0,58,1,0,0,0,3,3,+1.4,+1.4,2.7,2.5,-2,-2,-1.7,0.16,20,0.05,0.1,10,50,12.4,0,Match Report
14,Dortmund,2022-05-14,1.3,,Hertha BSC,de Bundesliga,W 2-1,2,1,+1,73,1,1,1,0,1.3,0.6,+0.4,+0.5,0.5,1.1,+0.7,+0.4,+0.5,0.09,7,0.14,1,1,14.3,17.9,1,Match Report
