Rk,Team,Date,xG,Venue,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
1,Hoffenheim,2024-05-18,1.8,,Bayern Munich,de Bundesliga,W 4-2,4,2,+2,48,4,0,0,0,1.8,1.8,+0.3,+0.3,1.2,2.7,+2.2,+2.2,+1.8,0.1,17,0.24,0.44,9,52.9,16.3,0,Match Report
2,Bayern Munich,2024-05-18,1.5,@,Hoffenheim,de Bundesliga,L 2-4,2,4,-2,52,2,0,0,0,1.5,1.5,-0.3,-0.3,1.5,1.6,+0.5,+0.5,+0.5,0.14,11,0.18,0.5,4,36.4,15.7,1,Match Report
3,Augsburg,2024-05-18,1.2,@,Leverkusen,de Bundesliga,L 1-2,1,2,-1,35,1,0,0,0,1.2,1.2,-1.3,-1.3,1,0.8,-0.2,-0.2,0,0.12,10,0.1,0.5,2,20,16.5,1,Match Report
4,Heidenheim,2024-05-18,1,,Köln,de Bundesliga,W 4-1,4,1,+3,49,4,0,0,0,1,1,-1.3,-1.3,0.6,0.9,+3.0,+3.0,+1.4,0.06,16,0.25,0.57,7,43.8,19.9,1,Match Report
5,Gladbach,2024-05-18,1.3,@,Stuttgart,de Bundesliga,L 0-4,0,4,-4,40,0,0,0,0,1.3,1.3,-0.2,-0.2,1.1,1.3,-1.3,-1.3,-1.1,0.1,14,0,0,5,35.7,16.4,0,Match Report
6,Wolfsburg,2024-05-18,0.8,,Mainz 05,de Bundesliga,L 1-3,1,3,-2,63,1,0,0,0,0.8,0.8,-1,-1,0.7,1.5,+0.2,+0.2,+0.3,0.06,13,0.08,0.33,3,23.1,19.7,1,Match Report
7,Stuttgart,2024-05-18,1.6,,Gladbach,de Bundesliga,W 4-0,4,0,+4,60,4,0,0,0,1.6,1.6,+0.2,+0.2,1.4,1.8,+2.4,+2.4,+2.6,0.08,21,0.19,0.36,11,52.4,18.7,0,Match Report
8,Werder Bremen,2024-05-18,3,,Bochum,de Bundesliga,W 4-1,4,1,+3,46,4,0,0,0,3,3,+1.0,+1.0,2.7,2.1,+1.0,+1.0,+0.3,0.12,26,0.15,0.31,13,50,15.8,0,Match Report
9,Darmstadt 98,2024-05-18,0.3,@,Dortmund,de Bundesliga,L 0-4,0,4,-4,28,0,0,0,0,0.3,0.3,-2.3,-2.3,0.3,0.4,-0.3,-0.3,-0.3,0.05,6,0,,0,0,17.3,0,Match Report
10,Union Berlin,2024-05-18,2.3,,Freiburg,de Bundesliga,W 2-1,2,1,+1,38,2,0,2,2,2.3,0.7,+1.3,-0.3,0.7,0.4,-0.3,+1.3,+0.3,0.06,11,0.18,0.67,3,27.3,18.5,0,Match Report
11,Mainz 05,2024-05-18,1.8,@,Wolfsburg,de Bundesliga,W 3-1,3,1,+2,37,3,0,0,0,1.8,1.8,+1.0,+1.0,1.4,0.7,+1.2,+1.2,+0.6,0.16,12,0.25,0.5,6,50,16.7,0,Match Report
12,Freiburg,2024-05-18,1,@,Union Berlin,de Bundesliga,L 1-2,1,2,-1,62,1,0,0,0,1,1,-1.3,+0.3,0.7,1.3,0,0,+0.3,0.08,13,0.08,0.25,4,30.8,13.9,0,Match Report
13,RB Leipzig,2024-05-18,1.6,@,Eint Frankfurt,de Bundesliga,D 2-2,2,2,0,53,1,1,1,0,1.6,0.8,-0.5,-0.5,0.5,0.7,+0.4,+0.2,+0.5,0.1,8,0.13,0.25,4,50,16.6,0,Match Report
14,Dortmund,2024-05-18,2.6,,Darmstadt 98,de Bundesliga,W 4-0,4,0,+4,72,4,0,0,0,2.6,2.6,+2.3,+2.3,1.4,1.5,+1.4,+1.4,+0.6,0.14,21,0.19,0.44,9,42.9,17.5,3,Match Report
15,Bochum,2024-05-18,2.1,@,Werder Bremen,de Bundesliga,L 1-4,1,4,-3,54,1,0,0,0,2.1,2.1,-1,-1,1.8,1.3,-1.1,-1.1,-0.8,0.08,27,0.04,0.14,7,25.9,15.5,1,Match Report
16,Köln,2024-05-18,2.3,@,Heidenheim,de Bundesliga,L 1-4,1,4,-3,51,1,0,0,0,2.3,2.3,+1.3,+1.3,2.1,2.1,-1.3,-1.3,-2.1,0.14,22,0.05,0.11,9,40.9,16.1,0,Match Report
17,Leverkusen,2024-05-18,2.4,,Augsburg,de Bundesliga,W 2-1,2,1,+1,65,2,0,0,0,2.4,2.4,+1.3,+1.3,1.8,2,-0.4,-0.4,-0.8,0.12,20,0.1,0.25,8,40,17.3,0,Match Report
18,Eint Frankfurt,2024-05-18,2.1,,RB Leipzig,de Bundesliga,D 2-2,2,2,0,47,1,1,1,0,2.1,1.3,+0.5,+0.5,1,1.7,-0.1,-0.3,0,0.06,21,0.05,0.2,5,23.8,17.2,0,Match Report
19,Hoffenheim,2024-05-12,3.3,@,Darmstadt 98,de Bundesliga,W 6-0,6,0,+6,59,6,0,0,0,3.3,3.3,+2.6,+2.6,3.3,2.2,+2.7,+2.7,+2.7,0.27,12,0.5,0.86,7,58.3,16.6,0,Match Report
20,Bayern Munich,2024-05-12,0.3,,Wolfsburg,de Bundesliga,W 2-0,2,0,+2,59,2,0,0,0,0.3,0.3,+0.1,+0.1,0.2,1.1,+1.7,+1.7,+1.8,0.05,6,0.33,0.67,3,50,17.7,1,Match Report
21,Wolfsburg,2024-05-12,0.2,@,Bayern Munich,de Bundesliga,L 0-2,0,2,-2,41,0,0,0,0,0.2,0.2,-0.1,-0.1,0.1,0.3,-0.2,-0.2,-0.1,0.03,5,0,0,2,40,32.6,0,Match Report
22,Darmstadt 98,2024-05-12,0.6,,Hoffenheim,de Bundesliga,L 0-6,0,6,-6,41,0,0,0,0,0.6,0.6,-2.6,-2.6,0.6,0.8,-0.6,-0.6,-0.6,0.06,10,0,,0,0,19.7,0,Match Report
23,Bochum,2024-05-12,0.3,,Leverkusen,de Bundesliga,L 0-5,0,5,-5,33,0,0,0,0,0.3,0.3,-3.9,-3.1,0.3,0.5,-0.3,-0.3,-0.3,0.1,3,0,,0,0,11,0,Match Report
24,Leverkusen,2024-05-12,4.2,@,Bochum,de Bundesliga,W 5-0,5,0,+5,67,4,1,1,0,4.2,3.4,+3.9,+3.1,3,2.3,+0.8,+0.6,+1.0,0.13,28,0.14,0.44,9,32.1,19.4,1,Match Report
25,Heidenheim,2024-05-11,0.7,@,Freiburg,de Bundesliga,D 1-1,1,1,0,44,1,0,0,0,0.7,0.7,-0.9,-0.9,0.6,0.6,+0.3,+0.3,+0.4,0.08,8,0.13,0.33,3,37.5,18.3,0,Match Report
26,Gladbach,2024-05-11,0.4,,Eint Frankfurt,de Bundesliga,D 1-1,1,1,0,44,1,0,0,0,0.4,0.4,-1.1,-1.1,0.4,0.2,+0.6,+0.6,+0.6,0.07,6,0.17,0.33,3,50,20.6,0,Match Report
27,Werder Bremen,2024-05-11,1.1,@,RB Leipzig,de Bundesliga,D 1-1,1,1,0,55,0,0,0,0,1.1,1.1,-0.4,-0.4,0.6,1.5,-1.1,-1.1,-0.6,0.1,11,0,0,2,18.2,19.7,0,Match Report
28,Union Berlin,2024-05-11,1.6,@,Köln,de Bundesliga,L 2-3,2,3,-1,38,1,1,1,0,1.6,0.9,-1.5,-1.5,0.8,0.7,+0.4,+0.1,+0.2,0.07,12,0.08,0.2,5,41.7,16.7,0,Match Report
29,Mainz 05,2024-05-11,2.1,,Dortmund,de Bundesliga,W 3-0,3,0,+3,32,3,0,0,0,2.1,2.1,+1.8,+1.8,1.5,1.8,+0.9,+0.9,+0.5,0.16,14,0.21,0.5,6,42.9,15.8,2,Match Report
30,Freiburg,2024-05-11,1.5,,Heidenheim,de Bundesliga,D 1-1,1,1,0,56,1,0,0,0,1.5,1.5,+0.9,+0.9,0.9,1.4,-0.5,-0.5,+0.1,0.08,20,0.05,0.25,4,20,17.2,1,Match Report
31,RB Leipzig,2024-05-11,1.4,,Werder Bremen,de Bundesliga,D 1-1,1,1,0,45,1,0,0,0,1.4,1.4,+0.4,+0.4,0.9,1.8,-0.4,-0.4,+0.1,0.11,13,0.08,0.2,5,38.5,17.3,0,Match Report
32,Dortmund,2024-05-11,0.4,@,Mainz 05,de Bundesliga,L 0-3,0,3,-3,68,0,0,0,0,0.4,0.4,-1.8,-1.8,0.3,0.8,-0.4,-0.4,-0.3,0.04,9,0,0,2,22.2,21.7,0,Match Report
33,Köln,2024-05-11,3.1,,Union Berlin,de Bundesliga,W 3-2,3,2,+1,62,2,1,1,0,3.1,2.3,+1.5,+1.5,2.4,1.7,-0.1,-0.3,-0.4,0.14,17,0.12,0.5,4,23.5,16.3,0,Match Report
34,Eint Frankfurt,2024-05-11,1.5,@,Gladbach,de Bundesliga,D 1-1,1,1,0,56,1,0,0,0,1.5,1.5,+1.1,+1.1,1.5,2.4,-0.5,-0.5,-0.5,0.09,17,0.06,0.5,2,11.8,13.1,0,Match Report
35,Augsburg,2024-05-10,0.6,,Stuttgart,de Bundesliga,L 0-1,0,1,-1,24,0,0,0,0,0.6,0.6,-1.3,-1.3,0.5,0.5,-0.6,-0.6,-0.5,0.08,9,0,0,1,11.1,18.7,2,Match Report
36,Stuttgart,2024-05-10,1.9,@,Augsburg,de Bundesliga,W 1-0,1,0,+1,76,1,0,0,0,1.9,1.9,+1.3,+1.3,1.6,1.7,-0.9,-0.9,-0.6,0.1,19,0.05,0.14,7,36.8,16.6,0,Match Report
37,Heidenheim,2024-05-05,0.9,,Mainz 05,de Bundesliga,D 1-1,1,1,0,46,1,0,0,0,0.9,0.9,-0.5,-0.5,0.7,0.5,+0.1,+0.1,+0.3,0.06,15,0.07,0.2,5,33.3,19.4,0,Match Report
38,Union Berlin,2024-05-05,0.9,,Bochum,de Bundesliga,L 3-4,3,4,-1,48,3,0,0,0,0.9,0.9,-0.5,-0.5,0.9,1.2,+2.1,+2.1,+2.1,0.08,12,0.25,0.6,5,41.7,15.9,0,Match Report
39,Mainz 05,2024-05-05,1.4,@,Heidenheim,de Bundesliga,D 1-1,1,1,0,54,1,0,0,0,1.4,1.4,+0.5,+0.5,1.3,1.3,-0.4,-0.4,-0.3,0.14,10,0.1,0.33,3,30,14.8,0,Match Report
40,Bochum,2024-05-05,1.4,@,Union Berlin,de Bundesliga,W 4-3,4,3,+1,52,4,0,0,0,1.4,1.4,+0.5,+0.5,1,1.2,+2.6,+2.6,+3.0,0.08,18,0.22,0.8,5,27.8,18.5,0,Match Report
41,Leverkusen,2024-05-05,2.7,@,Eint Frankfurt,de Bundesliga,W 5-1,5,1,+4,45,3,2,2,0,2.7,1.1,+0.7,-0.8,1.1,1.6,+2.3,+1.9,+1.9,0.16,7,0.43,0.75,4,57.1,22,0,Match Report
42,Eint Frankfurt,2024-05-05,1.9,,Leverkusen,de Bundesliga,L 1-5,1,5,-4,55,1,0,0,0,1.9,1.9,-0.7,+0.8,1.6,1.2,-0.9,-0.9,-0.6,0.11,17,0.06,0.2,5,29.4,19.4,1,Match Report
43,Bayern Munich,2024-05-04,1.7,@,Stuttgart,de Bundesliga,L 1-3,1,3,-2,39,0,1,1,0,1.7,0.9,-0.1,-0.9,0.8,0.7,-0.7,-0.9,-0.8,0.1,9,0,0,2,22.2,17.1,0,Match Report
44,Augsburg,2024-05-04,2.5,@,Dortmund,de Bundesliga,L 1-5,1,5,-4,39,1,0,0,0,2.5,2.5,-1.5,-1.5,2.4,2.4,-1.5,-1.5,-1.4,0.12,22,0.05,0.33,3,13.6,14.3,0,Match Report
45,Gladbach,2024-05-04,1.9,@,Werder Bremen,de Bundesliga,D 2-2,2,2,0,44,1,1,1,0,1.9,1.1,+0.4,-0.3,1.1,1.1,+0.1,-0.1,-0.1,0.07,16,0.06,0.2,5,31.3,19.3,0,Match Report
46,Wolfsburg,2024-05-04,2.2,,Darmstadt 98,de Bundesliga,W 3-0,3,0,+3,53,3,0,0,0,2.2,2.2,+1.8,+1.8,1.4,1.5,+0.8,+0.8,+0.6,0.1,21,0.14,0.43,7,33.3,18.5,2,Match Report
47,Stuttgart,2024-05-04,1.8,,Bayern Munich,de Bundesliga,W 3-1,3,1,+2,61,3,0,0,0,1.8,1.8,+0.1,+0.9,1.2,1.5,+1.2,+1.2,+1.8,0.08,24,0.13,0.33,9,37.5,20.4,0,Match Report
48,Werder Bremen,2024-05-04,1.4,,Gladbach,de Bundesliga,D 2-2,2,2,0,56,2,0,0,0,1.4,1.4,-0.4,+0.3,1.2,1.3,+0.6,+0.6,+0.8,0.08,18,0.11,0.33,6,33.3,14.6,1,Match Report
