Rk,Team,Date,xG,Venue,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
42,Freiburg,2021-05-09,2.5,@,Köln,de Bundesliga,W 4-1,4,1,+3,45,4,0,0,0,2.5,2.5,+0.6,+1.4,2.4,1.7,+1.5,+1.5,+0.6,0.22,11,0.36,0.67,6,54.5,14,0,Match Report
43,Köln,2021-05-09,1.9,,Freiburg,de Bundesliga,L 1-4,1,4,-3,55,1,0,1,1,1.9,1.1,-0.6,-1.4,0.8,0.7,-0.9,-0.1,+0.2,0.06,17,0.06,0.5,2,11.8,21.8,3,Match Report
44,Eint Frankfurt,2021-05-09,0.8,,Mainz 05,de Bundesliga,D 1-1,1,1,0,73,1,0,0,0,0.8,0.8,+0.1,+0.1,0.6,0.9,+0.2,+0.2,+0.4,0.06,14,0.07,0.33,3,21.4,17.6,0,Match Report
45,Hoffenheim,2021-05-08,1.7,,Schalke 04,de Bundesliga,W 4-2,4,2,+2,62,4,0,0,0,1.7,1.7,+0.7,+0.7,1.5,1.8,+2.3,+2.3,+1.5,0.08,21,0.19,0.33,12,57.1,18.6,2,Match Report
46,Bayern Munich,2021-05-08,3,,Gladbach,de Bundesliga,W 6-0,6,0,+6,57,5,1,1,0,3,2.2,+1.9,+1.1,2,2.8,+3.0,+2.8,+3.0,0.11,21,0.24,0.83,6,28.6,16.1,0,Match Report
47,Gladbach,2021-05-08,1.1,@,Bayern Munich,de Bundesliga,L 0-6,0,6,-6,43,0,0,0,0,1.1,1.1,-1.9,-1.1,0.9,0.9,-1.1,-1.1,-0.9,0.08,14,0,0,3,21.4,20.1,1,Match Report
48,Wolfsburg,2021-05-08,1.7,,Union Berlin,de Bundesliga,W 3-0,3,0,+3,60,3,0,0,0,1.7,1.7,+1.1,+1.1,1.2,0.8,+1.3,+1.3,+1.8,0.12,17,0.18,0.38,8,47.1,21,3,Match Report
49,Werder Bremen,2021-05-08,0.7,,Leverkusen,de Bundesliga,D 0-0,0,0,0,38,0,0,0,0,0.7,0.7,-0.5,-0.5,0.6,0.7,-0.7,-0.7,-0.6,0.06,12,0,0,1,8.3,17.4,0,Match Report
50,Union Berlin,2021-05-08,0.7,@,Wolfsburg,de Bundesliga,L 0-3,0,3,-3,40,0,0,0,0,0.7,0.7,-1.1,-1.1,0.6,0.7,-0.7,-0.7,-0.6,0.07,9,0,0,1,11.1,17.4,0,Match Report
51,RB Leipzig,2021-05-08,1.5,@,Dortmund,de Bundesliga,L 2-3,2,3,-1,56,2,0,0,0,1.5,1.5,-0.2,-0.2,1,1.3,+0.5,+0.5,+1.0,0.11,14,0.14,0.25,8,57.1,18.5,0,Match Report
52,Dortmund,2021-05-08,1.7,,RB Leipzig,de Bundesliga,W 3-2,3,2,+1,44,3,0,0,0,1.7,1.7,+0.2,+0.2,1.7,1.1,+1.3,+1.3,+1.3,0.11,15,0.2,0.75,4,26.7,16.6,0,Match Report
53,Schalke 04,2021-05-08,1,@,Hoffenheim,de Bundesliga,L 2-4,2,4,-2,38,2,0,0,0,1,1,-0.7,-0.7,0.9,0.5,+1.0,+1.0,+1.1,0.16,6,0.33,0.67,3,50,16.7,1,Match Report
54,Leverkusen,2021-05-08,1.1,@,Werder Bremen,de Bundesliga,D 0-0,0,0,0,62,0,0,0,0,1.1,1.1,+0.5,+0.5,1.1,1.5,-1.1,-1.1,-1.1,0.08,14,0,0,4,28.6,18.8,0,Match Report
55,Augsburg,2021-05-07,2.2,@,Stuttgart,de Bundesliga,L 1-2,1,2,-1,43,1,0,0,0,2.2,2.2,+0.5,+0.5,1.1,1.3,-1.2,-1.2,-1.1,0.11,21,0.05,0.11,9,42.9,18.5,0,Match Report
56,Stuttgart,2021-05-07,1.7,,Augsburg,de Bundesliga,W 2-1,2,1,+1,57,2,0,0,0,1.7,1.7,-0.5,-0.5,1.5,2.1,+0.3,+0.3,+0.5,0.1,16,0.13,0.29,7,43.8,15.4,0,Match Report
57,Hertha BSC,2021-05-06,1.8,,Freiburg,de Bundesliga,W 3-0,3,0,+3,39,3,0,0,0,1.8,1.8,+0.8,+0.8,0.9,0.6,+1.2,+1.2,+0.1,0.14,13,0.23,0.5,6,46.2,19.8,0,Match Report
58,Freiburg,2021-05-06,1,@,Hertha BSC,de Bundesliga,L 0-3,0,3,-3,61,0,0,0,0,1,1,-0.8,-0.8,0.9,1,-1,-1,-0.9,0.08,13,0,0,4,30.8,16.6,0,Match Report
59,Hertha BSC,2021-05-03,1.4,@,Mainz 05,de Bundesliga,D 1-1,1,1,0,44,1,0,0,0,1.4,1.4,-1.3,-1.3,1.4,1,-0.4,-0.4,-0.4,0.2,7,0.14,0.2,5,71.4,13.2,1,Match Report
60,Mainz 05,2021-05-03,2.8,,Hertha BSC,de Bundesliga,D 1-1,1,1,0,56,1,0,0,0,2.8,2.8,+1.3,+1.3,1.5,1.1,-1.8,-1.8,-1.5,0.17,16,0.06,0.11,9,56.3,15.3,1,Match Report
61,Arminia,2021-04-25,0.7,@,Gladbach,de Bundesliga,L 0-5,0,5,-5,38,0,0,0,0,0.7,0.7,-2.7,-2,0.6,0.6,-0.7,-0.7,-0.6,0.08,9,0,0,4,44.4,20.8,1,Match Report
62,Gladbach,2021-04-25,3.5,,Arminia,de Bundesliga,W 5-0,5,0,+5,62,4,1,1,0,3.5,2.7,+2.7,+2.0,2.7,0.9,+1.5,+1.3,+1.3,0.15,19,0.21,0.36,11,57.9,16.6,0,Match Report
63,Stuttgart,2021-04-25,0.1,@,RB Leipzig,de Bundesliga,L 0-2,0,2,-2,34,0,0,0,0,0.1,0.1,-3.4,-2.6,0.1,0.2,-0.1,-0.1,-0.1,0.15,1,0,,0,0,6.9,0,Match Report
64,RB Leipzig,2021-04-25,3.6,,Stuttgart,de Bundesliga,W 2-0,2,0,+2,66,1,1,1,0,3.6,2.8,+3.4,+2.6,2.3,3.4,-1.6,-1.8,-1.3,0.12,24,0.04,0.1,10,41.7,15.8,0,Match Report
65,Hoffenheim,2021-04-24,1.4,@,Freiburg,de Bundesliga,D 1-1,1,1,0,51,1,0,0,0,1.4,1.4,-0.2,+0.5,1.3,0.8,-0.4,-0.4,-0.3,0.08,17,0.06,0.25,4,23.5,20.9,2,Match Report
66,Bayern Munich,2021-04-24,1.5,@,Mainz 05,de Bundesliga,L 1-2,1,2,-1,70,1,0,0,0,1.5,1.5,+0.6,+0.6,0.9,2.1,-0.5,-0.5,-0.9,0.1,15,0.07,0.25,4,26.7,18.6,0,Match Report
67,Wolfsburg,2021-04-24,1.2,,Dortmund,de Bundesliga,L 0-2,0,2,-2,53,0,0,0,0,1.2,1.2,-0.2,-0.2,1,1.2,-1.2,-1.2,-1,0.06,21,0,0,2,9.5,19.7,0,Match Report
68,Werder Bremen,2021-04-24,0.4,@,Union Berlin,de Bundesliga,L 1-3,1,3,-2,45,1,0,0,0,0.4,0.4,-1.1,-1.1,0.4,0.5,+0.6,+0.6,+0.6,0.05,9,0.11,0.17,6,66.7,20,0,Match Report
69,Union Berlin,2021-04-24,1.6,,Werder Bremen,de Bundesliga,W 3-1,3,1,+2,55,3,0,0,0,1.6,1.6,+1.1,+1.1,1.4,0.9,+1.4,+1.4,+1.6,0.1,16,0.19,0.5,6,37.5,16.1,0,Match Report
70,Mainz 05,2021-04-24,0.9,,Bayern Munich,de Bundesliga,W 2-1,2,1,+1,30,2,0,0,0,0.9,0.9,-0.6,-0.6,0.7,0.5,+1.1,+1.1,+0.3,0.15,6,0.33,0.67,3,50,19.3,1,Match Report
71,Freiburg,2021-04-24,1.6,,Hoffenheim,de Bundesliga,D 1-1,1,1,0,49,0,1,1,0,1.6,0.9,+0.2,-0.5,0.4,0.7,-0.6,-0.9,-0.4,0.07,13,0,0,5,38.5,20.6,1,Match Report
72,Dortmund,2021-04-24,1.4,@,Wolfsburg,de Bundesliga,W 2-0,2,0,+2,47,2,0,0,0,1.4,1.4,+0.2,+0.2,1.1,1,+0.6,+0.6,-0.1,0.18,8,0.25,0.67,3,37.5,14,0,Match Report
73,Leverkusen,2021-04-24,2,,Eint Frankfurt,de Bundesliga,W 3-1,3,1,+2,51,3,0,0,0,2,2,-0.2,-0.2,1.5,1.3,+1.0,+1.0,+1.5,0.11,19,0.16,0.33,9,47.4,16.4,0,Match Report
74,Eint Frankfurt,2021-04-24,2.2,@,Leverkusen,de Bundesliga,L 1-3,1,3,-2,49,1,0,0,0,2.2,2.2,+0.2,+0.2,2.1,1.7,-1.2,-1.2,-1.1,0.2,13,0.08,0.2,5,38.5,12.2,0,Match Report
75,Augsburg,2021-04-23,1.9,,Köln,de Bundesliga,L 2-3,2,3,-1,53,2,0,0,0,1.9,1.9,+0.2,+0.2,1.6,1.6,+0.1,+0.1,-0.6,0.16,13,0.15,0.5,4,30.8,11.8,1,Match Report
76,Köln,2021-04-23,1.8,@,Augsburg,de Bundesliga,W 3-2,3,2,+1,47,3,0,0,0,1.8,1.8,-0.2,-0.2,1.7,1.7,+1.2,+1.2,+1.3,0.12,15,0.2,0.5,6,40,15.7,0,Match Report
77,Hoffenheim,2021-04-21,2.3,,Gladbach,de Bundesliga,W 3-2,3,2,+1,55,3,0,0,0,2.3,2.3,+1.4,+1.4,1,0.9,+0.7,+0.7,+1.0,0.12,19,0.16,0.5,6,31.6,16.2,0,Match Report
78,Gladbach,2021-04-21,0.9,@,Hoffenheim,de Bundesliga,L 2-3,2,3,-1,45,2,0,0,0,0.9,0.9,-1.4,-1.4,0.9,1.3,+1.1,+1.1,+0.1,0.16,6,0.33,1,2,33.3,15.5,0,Match Report
79,Wolfsburg,2021-04-21,1.5,@,Stuttgart,de Bundesliga,W 3-1,3,1,+2,39,3,0,0,0,1.5,1.5,-0.4,+0.4,1.2,0.7,+1.5,+1.5,+0.8,0.11,13,0.23,0.75,4,30.8,18,1,Match Report
80,Stuttgart,2021-04-21,1.9,,Wolfsburg,de Bundesliga,L 1-3,1,3,-2,61,1,0,1,1,1.9,1,+0.4,-0.4,1,0.9,-0.9,0,-1,0.12,9,0.11,0.33,3,33.3,18.9,0,Match Report
81,Werder Bremen,2021-04-21,1.2,,Mainz 05,de Bundesliga,L 0-1,0,1,-1,65,0,0,0,0,1.2,1.2,-0.5,-0.5,0.9,1.2,-1.2,-1.2,-0.9,0.06,20,0,0,3,15,20.5,2,Match Report
82,Union Berlin,2021-04-21,0.3,@,Dortmund,de Bundesliga,L 0-2,0,2,-2,48,0,0,0,0,0.3,0.3,-4.5,-3.5,0.1,0.3,-0.3,-0.3,-0.1,0.05,5,0,0,1,20,21.4,1,Match Report
83,Mainz 05,2021-04-21,1.7,@,Werder Bremen,de Bundesliga,W 1-0,1,0,+1,35,1,0,0,0,1.7,1.7,+0.5,+0.5,1.4,0.4,-0.7,-0.7,-1.4,0.13,14,0.07,0.2,5,35.7,17.4,0,Match Report
84,Dortmund,2021-04-21,4.8,,Union Berlin,de Bundesliga,W 2-0,2,0,+2,52,2,0,1,1,4.8,3.8,+4.5,+3.5,3.7,1.6,-2.8,-1.8,-2.7,0.2,19,0.11,0.22,9,47.4,14.2,0,Match Report
85,Bayern Munich,2021-04-20,1.7,,Leverkusen,de Bundesliga,W 2-0,2,0,+2,60,2,0,0,0,1.7,1.7,+1.2,+1.2,1.2,1.7,+0.3,+0.3,-1.2,0.08,24,0.08,0.25,8,33.3,21.8,1,Match Report
86,Augsburg,2021-04-20,1.6,@,Eint Frankfurt,de Bundesliga,L 0-2,0,2,-2,40,0,0,1,1,1.6,0.8,+0.4,-0.4,0.5,0.5,-1.6,-0.8,-0.5,0.06,14,0,0,4,28.6,18.4,1,Match Report
87,Arminia,2021-04-20,2.2,,Schalke 04,de Bundesliga,W 1-0,1,0,+1,44,1,0,1,1,2.2,1.4,+1.9,+1.1,1.3,1,-1.2,-0.4,-0.3,0.1,14,0.07,0.25,4,28.6,19.1,1,Match Report
88,RB Leipzig,2021-04-20,2.4,@,Köln,de Bundesliga,L 1-2,1,2,-1,71,1,0,0,0,2.4,2.4,+1.8,+1.8,1.7,2.2,-1.4,-1.4,-0.7,0.1,25,0.04,0.17,6,24,16,2,Match Report
89,Köln,2021-04-20,0.5,,RB Leipzig,de Bundesliga,W 2-1,2,1,+1,29,2,0,0,0,0.5,0.5,-1.8,-1.8,0.5,0.5,+1.5,+1.5,+1.5,0.1,5,0.4,0.67,3,60,16.5,0,Match Report
90,Schalke 04,2021-04-20,0.3,@,Arminia,de Bundesliga,L 0-1,0,1,-1,56,0,0,0,0,0.3,0.3,-1.9,-1.1,0.1,0.3,-0.3,-0.3,-0.1,0.06,5,0,,0,0,20.2,2,Match Report
91,Leverkusen,2021-04-20,0.6,@,Bayern Munich,de Bundesliga,L 0-2,0,2,-2,40,0,0,0,0,0.6,0.6,-1.2,-1.2,0.5,0.5,-0.6,-0.6,-0.5,0.08,7,0,0,4,57.1,17.7,0,Match Report
92,Eint Frankfurt,2021-04-20,1.3,,Augsburg,de Bundesliga,W 2-0,2,0,+2,60,2,0,0,0,1.3,1.3,-0.4,+0.4,1.2,1.9,+0.7,+0.7,+0.8,0.11,12,0.17,0.5,4,33.3,16.4,1,Match Report
93,Werder Bremen,2021-04-18,1,@,Dortmund,de Bundesliga,L 1-4,1,4,-3,31,1,0,0,0,1,1,-2,-1.2,0.8,0.5,0,0,+0.2,0.1,10,0.1,0.33,3,30,17.2,0,Match Report
94,Dortmund,2021-04-18,3,,Werder Bremen,de Bundesliga,W 4-1,4,1,+3,69,3,1,1,0,3,2.2,+2.0,+1.2,1.4,1.7,+1.0,+0.8,+0.6,0.14,16,0.19,0.43,7,43.8,17.3,0,Match Report
95,Bayern Munich,2021-04-17,1.9,@,Wolfsburg,de Bundesliga,W 3-2,3,2,+1,52,3,0,0,0,1.9,1.9,+0.5,+0.5,1.4,1.2,+1.1,+1.1,+1.6,0.14,14,0.21,0.38,8,57.1,15.1,0,Match Report
96,Augsburg,2021-04-17,0.7,,Arminia,de Bundesliga,D 0-0,0,0,0,51,0,0,0,0,0.7,0.7,-0.1,-0.1,0.6,0.6,-0.7,-0.7,-0.6,0.07,10,0,0,3,30,20.6,0,Match Report
97,Arminia,2021-04-17,0.7,@,Augsburg,de Bundesliga,D 0-0,0,0,0,49,0,0,0,0,0.7,0.7,+0.1,+0.1,0.7,0.7,-0.7,-0.7,-0.7,0.08,9,0,0,1,11.1,18.7,0,Match Report
98,Gladbach,2021-04-17,2.3,,Eint Frankfurt,de Bundesliga,W 4-0,4,0,+4,37,4,0,0,0,2.3,2.3,+1.6,+1.6,2.2,1.2,+1.7,+1.7,+1.8,0.11,21,0.19,1,4,19,16.3,0,Match Report
99,Wolfsburg,2021-04-17,1.4,,Bayern Munich,de Bundesliga,L 2-3,2,3,-1,48,2,0,0,0,1.4,1.4,-0.5,-0.5,1.4,0.9,+0.6,+0.6,+0.6,0.17,8,0.25,0.67,3,37.5,13.6,0,Match Report
100,Stuttgart,2021-04-17,1,@,Union Berlin,de Bundesliga,L 1-2,1,2,-1,56,1,0,0,0,1,1,-0.5,-0.5,0.9,0.8,0,0,+0.1,0.11,9,0.11,0.5,2,22.2,17.1,0,Match Report
101,Union Berlin,2021-04-17,1.4,,Stuttgart,de Bundesliga,W 2-1,2,1,+1,44,2,0,0,0,1.4,1.4,+0.5,+0.5,1.5,1.5,+0.6,+0.6,+0.5,0.16,9,0.22,0.5,4,44.4,12.6,0,Match Report
102,Freiburg,2021-04-17,2,,Schalke 04,de Bundesliga,W 4-0,4,0,+4,58,3,1,1,0,2,1.2,+1.3,+0.5,1,0.9,+2.0,+1.8,+2.0,0.1,12,0.25,0.43,7,58.3,17.6,1,Match Report
103,Köln,2021-04-17,1,@,Leverkusen,de Bundesliga,L 0-3,0,3,-3,57,0,0,0,0,1,1,-0.7,-0.7,0.9,0.9,-1,-1,-0.9,0.08,13,0,0,2,15.4,16.6,0,Match Report
104,Schalke 04,2021-04-17,0.7,@,Freiburg,de Bundesliga,L 0-4,0,4,-4,42,0,0,0,0,0.7,0.7,-1.3,-0.5,0.7,0.6,-0.7,-0.7,-0.7,0.18,4,0,0,2,50,15.7,0,Match Report
105,Leverkusen,2021-04-17,1.6,,Köln,de Bundesliga,W 3-0,3,0,+3,43,3,0,0,0,1.6,1.6,+0.7,+0.7,1.5,1.3,+1.4,+1.4,+1.5,0.2,8,0.38,0.6,5,62.5,13.3,1,Match Report
106,Eint Frankfurt,2021-04-17,0.7,@,Gladbach,de Bundesliga,L 0-4,0,4,-4,63,0,0,0,0,0.7,0.7,-1.6,-1.6,0.6,0.9,-0.7,-0.7,-0.6,0.05,16,0,0,4,25,17.7,0,Match Report
107,Hoffenheim,2021-04-16,0.3,@,RB Leipzig,de Bundesliga,D 0-0,0,0,0,37,0,0,0,0,0.3,0.3,-1.1,-1.1,0.2,0.4,-0.3,-0.3,-0.2,0.05,5,0,,0,0,16.2,0,Match Report
