Rk,Team,Date,xG,Venue,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
1,Hoffenheim,2021-05-22,2.4,,Hertha BSC,de Bundesliga,W 2-1,2,1,+1,57,2,0,0,0,2.4,2.4,+0.8,+0.8,2.4,2.8,-0.4,-0.4,-0.4,0.11,21,0.1,0.5,4,19,18,0,Match Report
2,Bayern Munich,2021-05-22,4.4,,Augsburg,de Bundesliga,W 5-2,5,2,+3,70,4,0,0,0,4.4,4.4,+2.4,+3.2,2.5,3.2,-0.4,-0.4,-0.5,0.19,26,0.15,0.31,13,50,13,1,Match Report
3,Augsburg,2021-05-22,2,@,Bayern Munich,de Bundesliga,L 2-5,2,5,-3,30,2,0,1,1,2,1.2,-2.4,-3.2,1.2,0.6,0,+0.8,+0.8,0.15,8,0.25,0.67,3,37.5,20.5,0,Match Report
4,Arminia,2021-05-22,1.7,@,Stuttgart,de Bundesliga,W 2-0,2,0,+2,28,1,1,1,0,1.7,0.9,+0.6,-0.2,0.6,0.8,+0.3,+0.1,+0.4,0.1,9,0.11,0.5,2,22.2,19.4,0,Match Report
5,Hertha BSC,2021-05-22,1.6,@,Hoffenheim,de Bundesliga,L 1-2,1,2,-1,43,1,0,0,0,1.6,1.6,-0.8,-0.8,1.6,0.7,-0.6,-0.6,-0.6,0.18,9,0.11,0.2,5,55.6,15.6,0,Match Report
6,Gladbach,2021-05-22,1.8,@,Werder Bremen,de Bundesliga,W 4-2,4,2,+2,54,4,0,0,0,1.8,1.8,-0.1,-0.1,1.8,1,+2.2,+2.2,+2.2,0.12,16,0.25,0.5,8,50,16.5,0,Match Report
7,Wolfsburg,2021-05-22,1.2,,Mainz 05,de Bundesliga,L 2-3,2,3,-1,60,2,0,0,0,1.2,1.2,-0.6,-0.6,1.1,1.2,+0.8,+0.8,+0.9,0.08,16,0.13,0.4,5,31.3,18.9,0,Match Report
8,Stuttgart,2021-05-22,1,,Arminia,de Bundesliga,L 0-2,0,2,-2,72,0,0,0,0,1,1,-0.6,+0.2,0.9,0.9,-1,-1,-0.9,0.09,12,0,,0,0,17.8,0,Match Report
9,Werder Bremen,2021-05-22,1.9,,Gladbach,de Bundesliga,L 2-4,2,4,-2,46,2,0,0,0,1.9,1.9,+0.1,+0.1,1.1,1.4,+0.1,+0.1,+0.9,0.13,16,0.13,0.25,8,50,17.7,0,Match Report
10,Union Berlin,2021-05-22,1.1,,RB Leipzig,de Bundesliga,W 2-1,2,1,+1,39,2,0,0,0,1.1,1.1,-1.5,-1.5,0.6,0.7,+0.9,+0.9,+1.4,0.11,10,0.2,0.5,4,40,19.6,0,Match Report
11,Mainz 05,2021-05-22,1.9,@,Wolfsburg,de Bundesliga,W 3-2,3,2,+1,40,3,0,0,0,1.9,1.9,+0.6,+0.6,1.6,1.3,+1.1,+1.1,+0.4,0.12,16,0.19,0.43,7,43.8,13.8,0,Match Report
12,Freiburg,2021-05-22,0.5,@,Eint Frankfurt,de Bundesliga,L 1-3,1,3,-2,48,1,0,0,0,0.5,0.5,-1.5,-0.7,0.4,0.6,+0.5,+0.5,+0.6,0.05,11,0.09,0.17,6,54.5,21.8,0,Match Report
13,RB Leipzig,2021-05-22,2.6,@,Union Berlin,de Bundesliga,L 1-2,1,2,-1,61,1,0,0,0,2.6,2.6,+1.5,+1.5,1.5,1.3,-1.6,-1.6,-0.5,0.14,19,0.05,0.13,8,42.1,16.7,0,Match Report
14,Dortmund,2021-05-22,1.1,,Leverkusen,de Bundesliga,W 3-1,3,1,+2,53,3,0,0,0,1.1,1.1,-0.6,+0.1,0.4,0.8,+1.9,+1.9,+0.6,0.12,9,0.33,1,3,33.3,16.5,1,Match Report
15,Köln,2021-05-22,2,,Schalke 04,de Bundesliga,W 1-0,1,0,+1,65,1,0,0,0,2,2,+1.6,+1.6,1.4,1.5,-1,-1,-0.4,0.1,21,0.05,0.1,10,47.6,15,0,Match Report
16,Schalke 04,2021-05-22,0.4,@,Köln,de Bundesliga,L 0-1,0,1,-1,35,0,0,0,0,0.4,0.4,-1.6,-1.6,0.3,0.3,-0.4,-0.4,-0.3,0.06,6,0,,0,0,17.7,0,Match Report
17,Leverkusen,2021-05-22,1.8,@,Dortmund,de Bundesliga,L 1-3,1,3,-2,47,0,1,1,0,1.8,1,+0.6,-0.1,0.7,1.1,-0.8,-1,-0.7,0.06,15,0,0,6,40,19,0,Match Report
18,Eint Frankfurt,2021-05-22,2,,Freiburg,de Bundesliga,W 3-1,3,1,+2,52,2,1,1,0,2,1.3,+1.5,+0.7,1.2,1.5,+1.0,+0.7,+0.8,0.08,15,0.13,0.22,9,60,21,1,Match Report
19,Wolfsburg,2021-05-16,1.2,@,RB Leipzig,de Bundesliga,D 2-2,2,2,0,36,2,0,0,0,1.2,1.2,-0.9,-0.1,0.9,1.1,+0.8,+0.8,+1.1,0.09,13,0.15,0.4,5,38.5,19.1,1,Match Report
20,Mainz 05,2021-05-16,1.5,,Dortmund,de Bundesliga,L 1-3,1,3,-2,35,0,1,1,0,1.5,0.7,-0.2,-0.9,0.4,0.5,-0.5,-0.7,-0.4,0.07,10,0,0,4,40,20.2,0,Match Report
21,RB Leipzig,2021-05-16,2.1,,Wolfsburg,de Bundesliga,D 2-2,2,2,0,64,1,1,1,0,2.1,1.3,+0.9,+0.1,0.8,1.1,-0.1,-0.3,+0.2,0.11,12,0.08,0.33,3,25,14.4,0,Match Report
22,Dortmund,2021-05-16,1.6,@,Mainz 05,de Bundesliga,W 3-1,3,1,+2,65,3,0,0,0,1.6,1.6,+0.2,+0.9,1.4,1.4,+1.4,+1.4,+1.6,0.13,13,0.23,0.75,4,30.8,15,0,Match Report
23,Hoffenheim,2021-05-15,1.6,@,Arminia,de Bundesliga,D 1-1,1,1,0,59,1,0,0,0,1.6,1.6,-0.2,-0.2,1.6,1.3,-0.6,-0.6,-0.6,0.24,7,0.14,0.33,3,42.9,15.7,0,Match Report
24,Bayern Munich,2021-05-15,2.9,@,Freiburg,de Bundesliga,D 2-2,2,2,0,61,1,1,1,0,2.9,2.1,+1.6,+0.8,2.4,2.1,-0.9,-1.1,-1.4,0.16,16,0.06,0.2,5,31.3,18.4,0,Match Report
25,Augsburg,2021-05-15,1.5,,Werder Bremen,de Bundesliga,W 2-0,2,0,+2,33,1,1,1,0,1.5,0.7,+0.6,-0.2,0.6,0.5,+0.5,+0.3,-0.6,0.06,12,0.08,0.25,4,33.3,17.9,0,Match Report
26,Arminia,2021-05-15,1.9,,Hoffenheim,de Bundesliga,D 1-1,1,1,0,41,1,0,0,0,1.9,1.9,+0.2,+0.2,1.1,1.2,-0.9,-0.9,-1.1,0.11,19,0.05,0.17,6,31.6,15.1,1,Match Report
27,Hertha BSC,2021-05-15,0.1,,Köln,de Bundesliga,D 0-0,0,0,0,42,0,0,0,0,0.1,0.1,-1.5,-1.5,0.1,0.3,-0.1,-0.1,-0.1,0.08,1,0,0,1,100,12.5,0,Match Report
28,Gladbach,2021-05-15,0.5,,Stuttgart,de Bundesliga,L 1-2,1,2,-1,50,1,0,0,0,0.5,0.5,-0.1,-0.1,0.5,0.9,+0.5,+0.5,+0.5,0.05,9,0.11,0.25,4,44.4,19,0,Match Report
29,Stuttgart,2021-05-15,0.6,@,Gladbach,de Bundesliga,W 2-1,2,1,+1,50,2,0,0,0,0.6,0.6,+0.1,+0.1,0.6,0.8,+1.4,+1.4,+1.4,0.05,11,0.18,0.33,6,54.5,19.3,0,Match Report
30,Werder Bremen,2021-05-15,0.9,@,Augsburg,de Bundesliga,L 0-2,0,2,-2,67,0,0,0,0,0.9,0.9,-0.6,+0.2,0.6,1.5,-0.9,-0.9,-0.6,0.06,15,0,0,4,26.7,16.7,0,Match Report
31,Union Berlin,2021-05-15,1.3,@,Leverkusen,de Bundesliga,D 1-1,1,1,0,51,1,0,0,0,1.3,1.3,-0.2,-0.2,0.9,1.1,-0.3,-0.3,-0.9,0.11,13,0.08,0.17,6,46.2,16.8,1,Match Report
32,Freiburg,2021-05-15,1.3,,Bayern Munich,de Bundesliga,D 2-2,2,2,0,39,2,0,0,0,1.3,1.3,-1.6,-0.8,1,0.6,+0.7,+0.7,+1.0,0.09,14,0.14,0.5,4,28.6,17.9,2,Match Report
33,Köln,2021-05-15,1.6,@,Hertha BSC,de Bundesliga,D 0-0,0,0,0,58,0,0,0,0,1.6,1.6,+1.5,+1.5,0.9,1.1,-1.6,-1.6,-0.9,0.13,12,0,0,4,33.3,15.3,0,Match Report
34,Schalke 04,2021-05-15,2.8,,Eint Frankfurt,de Bundesliga,W 4-3,4,3,+1,36,4,0,1,1,2.8,2,-0.3,-1.1,1.9,1,+1.2,+2.0,+1.1,0.2,10,0.4,0.8,5,50,15.4,0,Match Report
35,Leverkusen,2021-05-15,1.5,,Union Berlin,de Bundesliga,D 1-1,1,1,0,49,1,0,0,0,1.5,1.5,+0.2,+0.2,0.7,0.7,-0.5,-0.5,-0.7,0.16,10,0.1,0.25,4,40,16.2,0,Match Report
36,Eint Frankfurt,2021-05-15,3.1,@,Schalke 04,de Bundesliga,L 3-4,3,4,-1,64,3,0,0,0,3.1,3.1,+0.3,+1.1,2,2.5,-0.1,-0.1,0,0.14,25,0.12,0.38,8,32,15.1,1,Match Report
37,Hertha BSC,2021-05-12,1.5,@,Schalke 04,de Bundesliga,W 2-1,2,1,+1,55,2,0,0,0,1.5,1.5,+0.6,+0.6,1.3,1.2,+0.5,+0.5,+0.7,0.09,17,0.12,0.33,6,35.3,16.2,0,Match Report
38,Schalke 04,2021-05-12,0.9,,Hertha BSC,de Bundesliga,L 1-2,1,2,-1,45,1,0,0,0,0.9,0.9,-0.6,-0.6,0.6,0.5,+0.1,+0.1,+0.4,0.08,12,0.08,1,1,8.3,16,0,Match Report
39,Arminia,2021-05-09,0.6,@,Hertha BSC,de Bundesliga,D 0-0,0,0,0,35,0,0,0,0,0.6,0.6,0,0,0.5,0.4,-0.6,-0.6,-0.5,0.05,13,0,0,6,46.2,20.9,1,Match Report
40,Hertha BSC,2021-05-09,0.6,,Arminia,de Bundesliga,D 0-0,0,0,0,65,0,0,0,0,0.6,0.6,0,0,0.4,0.4,-0.6,-0.6,-0.4,0.05,11,0,0,4,36.4,18.1,0,Match Report
41,Mainz 05,2021-05-09,0.7,@,Eint Frankfurt,de Bundesliga,D 1-1,1,1,0,27,1,0,0,0,0.7,0.7,-0.1,-0.1,0.6,0.3,+0.3,+0.3,+0.4,0.11,6,0.17,0.33,3,50,21.4,0,Match Report
