Rk,Team,Date,xG,Venue,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
25,Hoffenheim,2025-12-13,1.5,,Hamburger SV,de Bundesliga,W 4-1,4,1,+3,59,4,0,0,0,1.5,1.5,+0.1,+0.9,1.4,2.2,+2.5,+2.5,+2.6,0.15,10,0.4,0.67,6,60,11,0,Match Report
26,Augsburg,2025-12-13,0.6,@,Eint Frankfurt,de Bundesliga,L 0-1,0,1,-1,49,0,0,0,0,0.6,0.6,-0.4,-0.4,0.5,1.2,-0.6,-0.6,-0.5,0.05,12,0,0,1,8.3,13,0,Match Report
27,Heidenheim,2025-12-13,2.4,@,St. Pauli,de Bundesliga,L 1-2,1,2,-1,64,1,0,0,0,2.4,2.4,+1.6,+1.6,2.2,2,-1.4,-1.4,-1.2,0.12,20,0.05,0.14,7,35,16.3,0,Match Report
28,Hamburger SV,2025-12-13,1.4,@,Hoffenheim,de Bundesliga,L 1-4,1,4,-3,41,1,0,1,1,1.4,0.6,-0.1,-0.9,0.6,1.1,-0.4,+0.4,+0.4,0.05,13,0.08,0.2,5,38.5,21.6,0,Match Report
29,Gladbach,2025-12-13,0.8,,Wolfsburg,de Bundesliga,L 1-3,1,3,-2,59,0,0,0,0,0.8,0.8,-0.9,-0.9,0.8,1.3,-0.8,-0.8,-0.8,0.06,14,0,0,4,28.6,16.5,0,Match Report
30,Wolfsburg,2025-12-13,1.7,@,Gladbach,de Bundesliga,W 3-1,3,1,+2,41,3,0,0,0,1.7,1.7,+0.9,+0.9,1.2,0.9,+1.3,+1.3,+0.8,0.16,11,0.27,0.5,6,54.5,13.3,0,Match Report
31,St. Pauli,2025-12-13,0.8,,Heidenheim,de Bundesliga,W 2-1,2,1,+1,36,2,0,0,0,0.8,0.8,-1.6,-1.6,0.6,1.5,+1.2,+1.2,+1.4,0.1,8,0.25,0.5,4,50,14.2,0,Match Report
32,Köln,2025-12-13,0.1,@,Leverkusen,de Bundesliga,L 0-2,0,2,-2,39,0,0,0,0,0.1,0.1,-1.9,-1.9,0.1,0.5,-0.1,-0.1,-0.1,0.03,5,0,0,4,80,25.6,1,Match Report
33,Leverkusen,2025-12-13,2.1,,Köln,de Bundesliga,W 2-0,2,0,+2,61,2,0,0,0,2.1,2.1,+1.9,+1.9,1.5,1.6,-0.1,-0.1,+0.5,0.12,17,0.12,0.33,6,35.3,15.2,0,Match Report
34,Eint Frankfurt,2025-12-13,1.1,,Augsburg,de Bundesliga,W 1-0,1,0,+1,51,1,0,0,0,1.1,1.1,+0.4,+0.4,0.5,0.3,-0.1,-0.1,+0.5,0.1,11,0.09,0.25,4,36.4,14.5,0,Match Report
35,Union Berlin,2025-12-12,1.4,,RB Leipzig,de Bundesliga,W 3-1,3,1,+2,38,3,0,0,0,1.4,1.4,+0.9,+0.9,1.3,0.9,+1.6,+1.6,+1.7,0.12,12,0.25,0.5,6,50,15.8,0,Match Report
36,RB Leipzig,2025-12-12,0.5,@,Union Berlin,de Bundesliga,L 1-3,1,3,-2,62,1,0,0,0,0.5,0.5,-0.9,-0.9,0.4,0.4,+0.5,+0.5,+0.6,0.06,9,0.11,0.33,3,33.3,19.7,1,Match Report
37,Hoffenheim,2025-12-07,1.1,@,Dortmund,de Bundesliga,L 0-2,0,2,-2,57,0,0,0,0,1.1,1.1,-0.4,-0.4,0.8,1.6,-1.1,-1.1,-0.8,0.1,11,0,0,3,27.3,17.6,0,Match Report
38,Hamburger SV,2025-12-07,1.3,,Werder Bremen,de Bundesliga,W 3-2,3,2,+1,53,3,0,0,0,1.3,1.3,+0.6,+0.6,1.1,1.5,+1.7,+1.7,+0.9,0.11,12,0.25,0.5,6,50,16.6,0,Match Report
39,Werder Bremen,2025-12-07,0.7,@,Hamburger SV,de Bundesliga,L 2-3,2,3,-1,47,2,0,0,0,0.7,0.7,-0.6,-0.6,0.7,0.9,+1.3,+1.3,+1.3,0.07,10,0.2,0.67,3,30,23.3,0,Match Report
40,Dortmund,2025-12-07,1.6,,Hoffenheim,de Bundesliga,W 2-0,2,0,+2,43,2,0,0,0,1.6,1.6,+0.4,+0.4,1.5,1.5,+0.4,+0.4,+0.5,0.2,8,0.25,0.5,4,50,16.8,0,Match Report
41,Bayern Munich,2025-12-06,3.3,@,Stuttgart,de Bundesliga,W 5-0,5,0,+5,59,4,1,1,0,3.3,2.7,+2.4,+1.8,2.5,2.5,+1.7,+1.3,+1.5,0.15,18,0.22,0.44,9,50,14.8,0,Match Report
42,Augsburg,2025-12-06,1.5,,Leverkusen,de Bundesliga,W 2-0,2,0,+2,33,2,0,0,0,1.5,1.5,-0.1,-0.1,1.6,1.1,+0.5,+0.5,+0.4,0.12,13,0.15,0.33,6,46.2,19.3,0,Match Report
43,Heidenheim,2025-12-06,2.1,,Freiburg,de Bundesliga,W 2-1,2,1,+1,39,2,0,0,0,2.1,2.1,+1.1,+1.1,1.6,2.1,-0.1,-0.1,-0.6,0.13,16,0.13,0.67,3,18.8,17.6,1,Match Report
44,Wolfsburg,2025-12-06,0.7,,Union Berlin,de Bundesliga,W 3-1,3,1,+2,43,3,0,0,0,0.7,0.7,-1.2,-0.4,0.7,0.8,+2.3,+2.3,+2.3,0.18,4,0.75,1,3,75,14.8,0,Match Report
45,St. Pauli,2025-12-06,0.1,@,Köln,de Bundesliga,D 1-1,1,1,0,41,1,0,0,0,0.1,0.1,-1.8,-1.8,0.1,0.3,+0.9,+0.9,+0.9,0.03,5,0.2,1,1,20,21.7,0,Match Report
46,Stuttgart,2025-12-06,0.9,,Bayern Munich,de Bundesliga,L 0-5,0,5,-5,41,0,0,0,0,0.9,0.9,-2.4,-1.8,0.7,0.8,-0.9,-0.9,-0.7,0.07,13,0,0,1,7.7,18.2,1,Match Report
47,Union Berlin,2025-12-06,1.9,@,Wolfsburg,de Bundesliga,L 1-3,1,3,-2,57,1,0,1,1,1.9,1.1,+1.2,+0.4,0.9,1.7,-0.9,-0.1,-0.9,0.05,20,0.05,0.2,5,25,15.7,0,Match Report
48,Freiburg,2025-12-06,1,@,Heidenheim,de Bundesliga,L 1-2,1,2,-1,61,1,0,0,0,1,1,-1.1,-1.1,0.8,0.9,0,0,+0.2,0.06,16,0.06,0.5,2,12.5,16.7,0,Match Report
49,RB Leipzig,2025-12-06,3.6,,Eint Frankfurt,de Bundesliga,W 6-0,6,0,+6,52,5,1,1,0,3.6,3,+3.0,+2.3,2.8,1.6,+2.4,+2.0,+1.2,0.2,15,0.33,0.83,6,40,17,1,Match Report
50,Köln,2025-12-06,1.9,,St. Pauli,de Bundesliga,D 1-1,1,1,0,59,1,0,0,0,1.9,1.9,+1.8,+1.8,1.2,0.6,-0.9,-0.9,-0.2,0.21,11,0.09,0.14,7,63.6,16.2,0,Match Report
51,Leverkusen,2025-12-06,1.6,@,Augsburg,de Bundesliga,L 0-2,0,2,-2,67,0,0,0,0,1.6,1.6,+0.1,+0.1,1.3,2.6,-1.6,-1.6,-1.3,0.08,20,0,0,2,10,17.5,1,Match Report
52,Eint Frankfurt,2025-12-06,0.6,@,RB Leipzig,de Bundesliga,L 0-6,0,6,-6,48,0,0,0,0,0.6,0.6,-3,-2.3,0.5,0.8,-0.6,-0.6,-0.5,0.08,8,0,0,2,25,14.9,0,Match Report
53,Gladbach,2025-12-05,1.7,@,Mainz 05,de Bundesliga,W 1-0,1,0,+1,45,0,0,0,0,1.7,1.7,+0.7,+0.7,1.2,1.5,-1.7,-1.7,-1.2,0.13,14,0,0,4,28.6,14.7,0,Match Report
54,Mainz 05,2025-12-05,1,,Gladbach,de Bundesliga,L 0-1,0,1,-1,55,0,0,0,0,1,1,-0.7,-0.7,1,1.1,-1,-1,-1,0.12,8,0,0,2,25,15.8,0,Match Report
55,Hamburger SV,2025-11-30,1,,Stuttgart,de Bundesliga,W 2-1,2,1,+1,34,2,0,0,0,1,1,+0.2,+0.2,0.9,0.5,+1.0,+1.0,+1.1,0.11,9,0.22,1,2,22.2,14.1,0,Match Report
56,Wolfsburg,2025-11-30,1.8,@,Eint Frankfurt,de Bundesliga,D 1-1,1,1,0,46,1,0,0,0,1.8,1.8,+0.2,+1.0,1.4,0.8,-0.8,-0.8,-0.4,0.19,10,0.1,0.33,3,30,14.6,0,Match Report
57,Stuttgart,2025-11-30,0.8,@,Hamburger SV,de Bundesliga,L 1-2,1,2,-1,66,1,0,0,0,0.8,0.8,-0.2,-0.2,0.5,1,+0.2,+0.2,-0.5,0.05,14,0.07,0.33,3,21.4,17.9,0,Match Report
58,Mainz 05,2025-11-30,0.1,@,Freiburg,de Bundesliga,L 0-4,0,4,-4,26,0,0,0,0,0.1,0.1,-4.2,-4.2,0.1,0.5,-0.1,-0.1,-0.1,0.08,1,0,0,1,100,21.6,0,Match Report
59,Freiburg,2025-11-30,4.2,,Mainz 05,de Bundesliga,W 4-0,4,0,+4,74,4,0,0,0,4.2,4.2,+4.2,+4.2,3.4,3.5,-0.2,-0.2,-0.4,0.2,23,0.17,0.44,9,39.1,16.6,0,Match Report
60,Eint Frankfurt,2025-11-30,1.6,,Wolfsburg,de Bundesliga,D 1-1,1,1,0,54,0,1,1,0,1.6,0.8,-0.2,-1,0.5,1,-0.6,-0.8,-0.5,0.06,14,0,0,1,7.1,20.4,2,Match Report
61,Hoffenheim,2025-11-29,2,,Augsburg,de Bundesliga,W 3-0,3,0,+3,59,2,0,0,0,2,2,+1.1,+1.1,1,1.1,0,0,0,0.12,17,0.12,0.67,3,17.6,14.8,0,Match Report
62,Bayern Munich,2025-11-29,2.3,,St. Pauli,de Bundesliga,W 3-1,3,1,+2,80,3,0,0,0,2.3,2.3,+1.8,+1.8,1.3,3,+0.7,+0.7,+0.7,0.12,19,0.16,0.75,4,21.1,14.7,1,Match Report
63,Augsburg,2025-11-29,1,@,Hoffenheim,de Bundesliga,L 0-3,0,3,-3,41,0,0,0,0,1,1,-1.1,-1.1,0.5,0.7,-1,-1,-0.5,0.07,14,0,0,4,28.6,20.5,0,Match Report
64,Heidenheim,2025-11-29,0.6,@,Union Berlin,de Bundesliga,W 2-1,2,1,+1,57,2,0,0,0,0.6,0.6,-0.4,-0.4,0.6,0.9,+1.4,+1.4,+1.4,0.06,10,0.2,1,2,20,16.1,0,Match Report
