Rk,Team,Date,xG,Venue,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
1,Hoffenheim,2025-05-17,0.4,,Bayern Munich,de Bundesliga,L 0-4,0,4,-4,34,0,0,0,0,0.4,0.4,-1,-1,0.4,0.6,-0.4,-0.4,-0.4,0.07,6,0,0,2,33.3,17.9,0,Match Report
2,Bayern Munich,2025-05-17,1.4,@,Hoffenheim,de Bundesliga,W 4-0,4,0,+4,66,4,0,0,0,1.4,1.4,+1.0,+1.0,1.3,1.9,+2.6,+2.6,+1.7,0.1,14,0.29,0.8,5,35.7,19.1,1,Match Report
3,Augsburg,2025-05-17,1.7,,Union Berlin,de Bundesliga,L 1-2,1,2,-1,62,1,0,0,0,1.7,1.7,+0.9,+0.9,1.4,1.2,-0.7,-0.7,-0.4,0.09,19,0.05,0.25,4,21.1,15.9,0,Match Report
4,Heidenheim,2025-05-17,1.6,,Werder Bremen,de Bundesliga,L 1-4,1,4,-3,51,1,0,0,0,1.6,1.6,-0.6,+0.2,1.2,1,-0.6,-0.6,-0.2,0.08,21,0.05,0.13,8,38.1,17.3,2,Match Report
5,Holstein Kiel,2025-05-17,0.8,@,Dortmund,de Bundesliga,L 0-3,0,3,-3,27,0,0,0,0,0.8,0.8,-1.6,-0.8,0.7,0.3,-0.8,-0.8,-0.7,0.2,4,0,0,2,50,11.3,0,Match Report
6,Gladbach,2025-05-17,1,,Wolfsburg,de Bundesliga,L 0-1,0,1,-1,59,0,0,0,0,1,1,-0.7,-0.7,0.8,1.1,-1,-1,-0.8,0.06,16,0,0,3,18.8,19.1,0,Match Report
7,Wolfsburg,2025-05-17,1.7,@,Gladbach,de Bundesliga,W 1-0,1,0,+1,41,1,0,0,0,1.7,1.7,+0.7,+0.7,1.5,1.1,-0.7,-0.7,-0.5,0.1,17,0.06,0.17,6,35.3,20.2,0,Match Report
8,St. Pauli,2025-05-17,0.8,,Bochum,de Bundesliga,L 0-2,0,2,-2,57,0,0,0,0,0.8,0.8,-0.5,-0.5,0.6,1.1,-0.8,-0.8,-0.6,0.08,10,0,0,2,20,18.6,0,Match Report
9,Stuttgart,2025-05-17,2.6,@,RB Leipzig,de Bundesliga,W 3-2,3,2,+1,51,3,0,0,0,2.6,2.6,+1.5,+1.5,2,1.8,+0.4,+0.4,0,0.17,15,0.2,0.43,7,46.7,10.9,0,Match Report
10,Werder Bremen,2025-05-17,2.2,@,Heidenheim,de Bundesliga,W 4-1,4,1,+3,49,3,1,1,0,2.2,1.4,+0.6,-0.2,1.2,1.2,+1.8,+1.6,+0.8,0.12,12,0.25,0.6,5,41.7,15.5,0,Match Report
11,Union Berlin,2025-05-17,0.8,@,Augsburg,de Bundesliga,W 2-1,2,1,+1,38,2,0,0,0,0.8,0.8,-0.9,-0.9,0.2,0.3,+1.2,+1.2,+0.8,0.17,5,0.4,0.67,3,60,16.9,0,Match Report
12,Mainz 05,2025-05-17,3.1,,Leverkusen,de Bundesliga,D 2-2,2,2,0,48,1,1,1,0,3.1,2.3,+1.8,+1.8,0.9,1.6,-1.1,-1.3,+0.1,0.12,19,0.05,0.2,5,26.3,15.5,1,Match Report
13,Freiburg,2025-05-17,0.7,,Eint Frankfurt,de Bundesliga,L 1-3,1,3,-2,59,1,0,0,0,0.7,0.7,-1.2,-1.2,0.6,0.8,+0.3,+0.3,+0.4,0.09,8,0.13,1,1,12.5,13,0,Match Report
14,RB Leipzig,2025-05-17,1.1,,Stuttgart,de Bundesliga,L 2-3,2,3,-1,49,2,0,0,0,1.1,1.1,-1.5,-1.5,0.8,0.8,+0.9,+0.9,+0.2,0.14,8,0.25,0.4,5,62.5,15,1,Match Report
15,Dortmund,2025-05-17,2.4,,Holstein Kiel,de Bundesliga,W 3-0,3,0,+3,73,2,1,1,0,2.4,1.6,+1.6,+0.8,1.2,2.4,+0.6,+0.4,+0.8,0.09,18,0.11,0.4,5,27.8,19,0,Match Report
16,Bochum,2025-05-17,1.3,@,St. Pauli,de Bundesliga,W 2-0,2,0,+2,43,2,0,0,0,1.3,1.3,+0.5,+0.5,1.1,1,+0.7,+0.7,-0.1,0.15,9,0.22,0.33,6,66.7,17.5,0,Match Report
17,Leverkusen,2025-05-17,1.2,@,Mainz 05,de Bundesliga,D 2-2,2,2,0,52,1,1,1,0,1.2,0.4,-1.8,-1.8,0.3,0.7,+0.8,+0.6,+0.7,0.08,6,0.17,0.33,3,50,16.9,0,Match Report
18,Eint Frankfurt,2025-05-17,2,@,Freiburg,de Bundesliga,W 3-1,3,1,+2,41,3,0,0,0,2,2,+1.2,+1.2,1.8,0.4,+1.0,+1.0,+1.2,0.19,11,0.27,0.5,6,54.5,13.4,0,Match Report
19,Augsburg,2025-05-11,0.5,@,Stuttgart,de Bundesliga,L 0-4,0,4,-4,30,0,0,0,0,0.5,0.5,-3.4,-3.4,0.5,0.5,-0.5,-0.5,-0.5,0.07,7,0,,0,0,16.3,0,Match Report
20,St. Pauli,2025-05-11,0.8,@,Eint Frankfurt,de Bundesliga,D 2-2,2,2,0,28,2,0,0,0,0.8,0.8,-0.9,-0.9,0.3,0.1,+1.2,+1.2,+0.7,0.17,5,0.4,1,2,40,14.8,0,Match Report
21,Stuttgart,2025-05-11,3.9,,Augsburg,de Bundesliga,W 4-0,4,0,+4,70,4,0,0,0,3.9,3.9,+3.4,+3.4,2.5,2.3,+0.1,+0.1,-0.5,0.15,29,0.14,0.36,11,37.9,13.8,0,Match Report
22,Dortmund,2025-05-11,1.2,@,Leverkusen,de Bundesliga,W 4-2,4,2,+2,38,4,0,0,0,1.2,1.2,-1,-1,1,1,+2.8,+2.8,+2.0,0.13,9,0.44,0.8,5,55.6,19.5,0,Match Report
23,Leverkusen,2025-05-11,2.2,,Dortmund,de Bundesliga,L 2-4,2,4,-2,62,2,0,0,0,2.2,2.2,+1.0,+1.0,2,2.2,-0.2,-0.2,0,0.12,19,0.11,0.2,10,52.6,16.8,0,Match Report
24,Eint Frankfurt,2025-05-11,1.7,,St. Pauli,de Bundesliga,D 2-2,2,2,0,72,2,0,0,0,1.7,1.7,+0.9,+0.9,1.6,1.9,+0.3,+0.3,+0.4,0.13,13,0.15,0.4,5,38.5,14.9,0,Match Report
25,Bayern Munich,2025-05-10,2.5,,Gladbach,de Bundesliga,W 2-0,2,0,+2,62,2,0,0,0,2.5,2.5,+0.9,+0.9,2.2,3.5,-0.5,-0.5,-0.2,0.11,24,0.08,0.22,9,37.5,17.7,0,Match Report
26,Heidenheim,2025-05-10,1.1,@,Union Berlin,de Bundesliga,W 3-0,3,0,+3,51,3,0,0,0,1.1,1.1,+0.7,+0.7,0.6,0.8,+1.9,+1.9,+2.4,0.14,8,0.38,0.75,4,50,15,0,Match Report
27,Holstein Kiel,2025-05-10,1,,Freiburg,de Bundesliga,L 1-2,1,2,-1,60,1,0,0,0,1,1,-0.5,-0.5,0.9,1.4,0,0,+0.1,0.07,15,0.07,0.33,3,20,25.6,2,Match Report
28,Gladbach,2025-05-10,1.6,@,Bayern Munich,de Bundesliga,L 0-2,0,2,-2,38,0,0,0,0,1.6,1.6,-0.9,-0.9,1.6,1.4,-1.6,-1.6,-1.6,0.11,16,0,0,6,37.5,15.6,0,Match Report
29,Werder Bremen,2025-05-10,2,,RB Leipzig,de Bundesliga,D 0-0,0,0,0,55,0,0,0,0,2,2,+0.4,+0.4,1.7,2.9,-2,-2,-1.7,0.1,21,0,0,5,23.8,13,0,Match Report
30,Union Berlin,2025-05-10,0.5,,Heidenheim,de Bundesliga,L 0-3,0,3,-3,49,0,0,0,0,0.5,0.5,-0.7,-0.7,0.2,0.4,-0.5,-0.5,-0.2,0.05,10,0,0,1,10,17.6,0,Match Report
31,Mainz 05,2025-05-10,1.5,@,Bochum,de Bundesliga,W 4-1,4,1,+3,56,4,0,0,0,1.5,1.5,+0.6,+0.6,1.3,1.6,+2.5,+2.5,+1.7,0.07,22,0.18,0.57,7,31.8,16.6,2,Match Report
32,Freiburg,2025-05-10,1.4,@,Holstein Kiel,de Bundesliga,W 2-1,2,1,+1,40,2,0,0,0,1.4,1.4,+0.5,+0.5,1.4,0.9,+0.6,+0.6,+0.6,0.18,9,0.22,0.67,3,33.3,10.3,0,Match Report
33,RB Leipzig,2025-05-10,1.7,@,Werder Bremen,de Bundesliga,D 0-0,0,0,0,45,0,0,0,0,1.7,1.7,-0.4,-0.4,1.4,1.5,-1.7,-1.7,-1.4,0.11,16,0,0,4,25,19.3,1,Match Report
