Rk,Team,Date,xG,Venue,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
34,Bochum,2025-05-10,0.9,,Mainz 05,de Bundesliga,L 1-4,1,4,-3,44,1,0,0,0,0.9,0.9,-0.6,-0.6,0.7,0.9,+0.1,+0.1,+0.3,0.08,11,0.09,0.17,6,54.5,20,0,Match Report
35,Hoffenheim,2025-05-09,1.4,@,Wolfsburg,de Bundesliga,D 2-2,2,2,0,46,2,0,0,0,1.4,1.4,+0.4,+0.4,0.9,0.8,+0.6,+0.6,+1.1,0.08,17,0.12,0.29,7,41.2,17.1,1,Match Report
36,Wolfsburg,2025-05-09,1,,Hoffenheim,de Bundesliga,D 2-2,2,2,0,54,1,0,0,0,1,1,-0.4,-0.4,0.9,1.4,0,0,+0.1,0.07,14,0.07,0.2,5,35.7,16.8,0,Match Report
37,Augsburg,2025-05-04,3.2,,Holstein Kiel,de Bundesliga,L 1-3,1,3,-2,72,1,0,0,0,3.2,3.2,+1.5,+2.2,2.2,2.3,-2.2,-2.2,-2.2,0.12,27,0.04,0.1,10,37,15.9,0,Match Report
38,Holstein Kiel,2025-05-04,1.7,@,Augsburg,de Bundesliga,W 3-1,3,1,+2,28,2,1,1,0,1.7,1,-1.5,-2.2,0.8,0.5,+1.3,+1.0,+0.2,0.16,6,0.33,0.67,3,50,17.3,0,Match Report
39,Mainz 05,2025-05-04,1.4,,Eint Frankfurt,de Bundesliga,D 1-1,1,1,0,64,1,0,0,0,1.4,1.4,+0.1,+0.1,1,1.1,-0.4,-0.4,-1,0.12,12,0.08,0.33,3,25,13.9,0,Match Report
40,Freiburg,2025-05-04,0.9,,Leverkusen,de Bundesliga,D 2-2,2,2,0,33,1,0,0,0,0.9,0.9,+0.6,+0.6,0.8,1.1,+0.1,+0.1,-0.8,0.13,7,0.14,0.33,3,42.9,15.6,0,Match Report
41,Leverkusen,2025-05-04,0.3,@,Freiburg,de Bundesliga,D 2-2,2,2,0,67,2,0,0,0,0.3,0.3,-0.6,-0.6,0.3,0.8,+1.7,+1.7,+1.7,0.06,5,0.4,1,2,40,19.2,0,Match Report
42,Eint Frankfurt,2025-05-04,1.3,@,Mainz 05,de Bundesliga,D 1-1,1,1,0,36,1,0,0,0,1.3,1.3,-0.1,-0.1,0.8,0.5,-0.3,-0.3,+0.2,0.17,8,0.13,0.5,2,25,18.1,0,Match Report
43,Hoffenheim,2025-05-03,1.8,@,Gladbach,de Bundesliga,D 4-4,4,4,0,56,4,0,0,0,1.8,1.8,+0.4,+0.4,1.3,1,+2.2,+2.2,+2.7,0.07,26,0.15,0.5,8,30.8,18.4,0,Match Report
44,Bayern Munich,2025-05-03,1.6,@,RB Leipzig,de Bundesliga,D 3-3,3,3,0,62,3,0,0,0,1.6,1.6,+0.4,+0.4,1.4,2.1,+1.4,+1.4,+1.6,0.08,20,0.15,0.5,6,30,16.6,0,Match Report
45,Gladbach,2025-05-03,1.4,,Hoffenheim,de Bundesliga,D 4-4,4,4,0,44,4,0,0,0,1.4,1.4,-0.4,-0.4,1.2,0.8,+2.6,+2.6,+1.8,0.12,12,0.33,0.57,7,58.3,16.7,0,Match Report
46,Wolfsburg,2025-05-03,0.7,@,Dortmund,de Bundesliga,L 0-4,0,4,-4,46,0,0,0,0,0.7,0.7,-1.7,-1.7,0.6,0.8,-0.7,-0.7,-0.6,0.06,11,0,0,2,18.2,15.7,0,Match Report
47,St. Pauli,2025-05-03,0.4,,Stuttgart,de Bundesliga,L 0-1,0,1,-1,30,0,0,0,0,0.4,0.4,-2.3,-1.5,0.2,0.2,-0.4,-0.4,-0.2,0.07,6,0,0,1,16.7,20.3,0,Match Report
48,Stuttgart,2025-05-03,2.7,@,St. Pauli,de Bundesliga,W 1-0,1,0,+1,70,1,0,1,1,2.7,2,+2.3,+1.5,2.1,2.3,-1.7,-1,-1.1,0.1,20,0.05,0.14,7,35,16.5,0,Match Report
49,Werder Bremen,2025-05-03,1.6,@,Union Berlin,de Bundesliga,D 2-2,2,2,0,59,2,0,0,0,1.6,1.6,+0.1,+0.1,0.9,1.1,+0.4,+0.4,+0.1,0.13,13,0.15,0.33,6,46.2,17.6,0,Match Report
50,Union Berlin,2025-05-03,1.5,,Werder Bremen,de Bundesliga,D 2-2,2,2,0,41,2,0,0,0,1.5,1.5,-0.1,-0.1,0.7,0.8,+0.5,+0.5,+1.3,0.08,18,0.11,0.25,8,44.4,17.5,0,Match Report
51,RB Leipzig,2025-05-03,1.2,,Bayern Munich,de Bundesliga,D 3-3,3,3,0,38,3,0,0,0,1.2,1.2,-0.4,-0.4,0.9,0.6,+1.8,+1.8,+2.1,0.15,8,0.38,0.5,6,75,19.3,1,Match Report
52,Dortmund,2025-05-03,2.4,,Wolfsburg,de Bundesliga,W 4-0,4,0,+4,54,4,0,0,0,2.4,2.4,+1.7,+1.7,2.4,1.2,+1.6,+1.6,+1.6,0.22,11,0.36,0.8,5,45.5,12.8,0,Match Report
53,Heidenheim,2025-05-02,0.7,,Bochum,de Bundesliga,D 0-0,0,0,0,46,0,0,0,0,0.7,0.7,-0.6,-0.6,0.6,0.6,-0.7,-0.7,-0.6,0.06,12,0,0,3,25,20.4,0,Match Report
54,Bochum,2025-05-02,1.3,@,Heidenheim,de Bundesliga,D 0-0,0,0,0,54,0,0,0,0,1.3,1.3,+0.6,+0.6,0.8,1.2,-1.3,-1.3,-0.8,0.09,14,0,0,3,21.4,16.3,0,Match Report
55,St. Pauli,2025-04-27,0.6,@,Werder Bremen,de Bundesliga,D 0-0,0,0,0,49,0,0,0,0,0.6,0.6,-0.5,-0.5,0.6,0.8,-0.6,-0.6,-0.6,0.06,10,0,0,4,40,16.9,0,Match Report
56,Werder Bremen,2025-04-27,1.1,,St. Pauli,de Bundesliga,D 0-0,0,0,0,51,0,0,0,0,1.1,1.1,+0.5,+0.5,1.1,0.9,-1.1,-1.1,-1.1,0.1,11,0,0,2,18.2,16.5,0,Match Report
57,Union Berlin,2025-04-27,0.3,@,Bochum,de Bundesliga,D 1-1,1,1,0,34,1,0,0,0,0.3,0.3,-1.2,-0.3,0.2,0.3,+0.7,+0.7,-0.2,0.06,5,0.2,1,1,20,15.7,0,Match Report
58,Bochum,2025-04-27,1.5,,Union Berlin,de Bundesliga,D 1-1,1,1,0,66,1,0,1,1,1.5,0.6,+1.2,+0.3,0.4,0.5,-0.5,+0.4,-0.4,0.06,9,0.11,0.33,3,33.3,20.1,0,Match Report
59,Hoffenheim,2025-04-26,1.1,,Dortmund,de Bundesliga,L 2-3,2,3,-1,39,2,0,0,0,1.1,1.1,-1.5,-0.7,1.1,1.1,+0.9,+0.9,+0.9,0.1,11,0.18,0.67,3,27.3,15.7,1,Match Report
60,Bayern Munich,2025-04-26,1.1,,Mainz 05,de Bundesliga,W 3-0,3,0,+3,59,3,0,0,0,1.1,1.1,+0.4,+0.4,0.9,1.2,+1.9,+1.9,+1.1,0.08,14,0.21,0.5,6,42.9,16.4,0,Match Report
61,Augsburg,2025-04-26,0.7,@,Leverkusen,de Bundesliga,L 0-2,0,2,-2,47,0,0,0,0,0.7,0.7,-0.2,-0.2,0.6,1,-0.7,-0.7,-0.6,0.06,11,0,0,2,18.2,18.9,0,Match Report
62,Holstein Kiel,2025-04-26,3.5,,Gladbach,de Bundesliga,W 4-3,4,3,+1,38,4,0,0,0,3.5,3.5,+1.8,+1.8,2.6,1.1,+0.5,+0.5,-0.6,0.16,22,0.18,0.36,11,50,17.1,0,Match Report
63,Gladbach,2025-04-26,1.6,@,Holstein Kiel,de Bundesliga,L 3-4,3,4,-1,62,3,0,0,0,1.6,1.6,-1.8,-1.8,1.4,1.2,+1.4,+1.4,+1.6,0.11,16,0.19,0.43,7,43.8,12.5,0,Match Report
64,Wolfsburg,2025-04-26,0.3,,Freiburg,de Bundesliga,L 0-1,0,1,-1,44,0,0,0,0,0.3,0.3,-1.3,-1.3,0.2,0.9,-0.3,-0.3,-0.2,0.05,7,0,0,1,14.3,21.2,1,Match Report
65,Mainz 05,2025-04-26,0.7,@,Bayern Munich,de Bundesliga,L 0-3,0,3,-3,41,0,0,0,0,0.7,0.7,-0.4,-0.4,0.7,0.7,-0.7,-0.7,-0.7,0.08,8,0,0,3,37.5,18.8,0,Match Report
66,Freiburg,2025-04-26,1.6,@,Wolfsburg,de Bundesliga,W 1-0,1,0,+1,56,1,0,0,0,1.6,1.6,+1.3,+1.3,0.6,1.1,-0.6,-0.6,-0.6,0.11,15,0.07,0.5,2,13.3,17.1,1,Match Report
67,RB Leipzig,2025-04-26,0.4,@,Eint Frankfurt,de Bundesliga,L 0-4,0,4,-4,54,0,0,0,0,0.4,0.4,-1.8,-1.8,0.1,0.5,-0.4,-0.4,-0.1,0.05,7,0,0,3,42.9,21.9,1,Match Report
68,Dortmund,2025-04-26,2.6,@,Hoffenheim,de Bundesliga,W 3-2,3,2,+1,61,3,0,1,1,2.6,1.8,+1.5,+0.7,1.6,1.3,+0.4,+1.2,+1.4,0.12,15,0.2,0.43,7,46.7,16.8,0,Match Report
69,Leverkusen,2025-04-26,0.9,,Augsburg,de Bundesliga,W 2-0,2,0,+2,53,2,0,0,0,0.9,0.9,+0.2,+0.2,0.8,1.3,+1.1,+1.1,+0.2,0.06,14,0.14,0.4,5,35.7,18.4,0,Match Report
70,Eint Frankfurt,2025-04-26,2.1,,RB Leipzig,de Bundesliga,W 4-0,4,0,+4,46,4,0,0,0,2.1,2.1,+1.8,+1.8,1.7,2.1,+1.9,+1.9,+1.3,0.24,9,0.44,0.8,5,55.6,13.1,1,Match Report
71,Heidenheim,2025-04-25,0.3,@,Stuttgart,de Bundesliga,W 1-0,1,0,+1,31,1,0,0,0,0.3,0.3,-1.6,-1.6,0.3,0.7,+0.7,+0.7,+0.7,0.05,6,0.17,0.5,2,33.3,21.4,0,Match Report
72,Stuttgart,2025-04-25,1.8,,Heidenheim,de Bundesliga,L 0-1,0,1,-1,69,0,0,0,0,1.8,1.8,+1.6,+1.6,1.4,2.7,-1.8,-1.8,-1.4,0.1,19,0,0,3,15.8,18.9,1,Match Report
73,Augsburg,2025-04-20,0.9,,Eint Frankfurt,de Bundesliga,D 0-0,0,0,0,46,0,0,0,0,0.9,0.9,-0.3,-0.3,0.6,0.6,-0.9,-0.9,-0.6,0.07,13,0,0,2,15.4,18.1,0,Match Report
74,Gladbach,2025-04-20,1.4,@,Dortmund,de Bundesliga,L 2-3,2,3,-1,41,1,1,1,0,1.4,0.6,0,-0.8,0,0.2,+0.6,+0.4,0,0.12,5,0.2,0.5,2,40,22.3,0,Match Report
75,St. Pauli,2025-04-20,1.1,,Leverkusen,de Bundesliga,D 1-1,1,1,0,43,1,0,0,0,1.1,1.1,+0.3,+0.3,0.6,1.2,-0.1,-0.1,+0.4,0.11,10,0.1,0.2,5,50,16.8,3,Match Report
76,Dortmund,2025-04-20,1.4,,Gladbach,de Bundesliga,W 3-2,3,2,+1,59,3,0,0,0,1.4,1.4,0,+0.8,0.9,1.2,+1.6,+1.6,+2.1,0.11,14,0.21,0.5,6,42.9,16.8,0,Match Report
77,Leverkusen,2025-04-20,0.8,@,St. Pauli,de Bundesliga,D 1-1,1,1,0,57,1,0,0,0,0.8,0.8,-0.3,-0.3,0.8,1.6,+0.2,+0.2,+0.2,0.13,6,0.17,0.25,4,66.7,15.5,0,Match Report
78,Eint Frankfurt,2025-04-20,1.1,@,Augsburg,de Bundesliga,D 0-0,0,0,0,54,0,0,0,0,1.1,1.1,+0.3,+0.3,1.1,0.7,-1.1,-1.1,-1.1,0.14,8,0,0,4,50,10.8,0,Match Report
79,Hoffenheim,2025-04-19,1.5,@,Freiburg,de Bundesliga,L 2-3,2,3,-1,60,2,0,0,0,1.5,1.5,+0.3,+0.3,1,1.2,+0.5,+0.5,-1,0.1,19,0.11,0.33,6,31.6,18.4,1,Match Report
80,Bayern Munich,2025-04-19,3.2,@,Heidenheim,de Bundesliga,W 4-0,4,0,+4,68,4,0,0,0,3.2,3.2,+2.6,+2.6,2.4,1.8,+0.8,+0.8,+1.6,0.18,18,0.22,0.36,11,61.1,15.2,1,Match Report
81,Heidenheim,2025-04-19,0.6,,Bayern Munich,de Bundesliga,L 0-4,0,4,-4,32,0,0,0,0,0.6,0.6,-2.6,-2.6,0.5,0.3,-0.6,-0.6,-0.5,0.14,4,0,0,1,25,13.4,0,Match Report
82,Holstein Kiel,2025-04-19,0.8,@,RB Leipzig,de Bundesliga,D 1-1,1,1,0,39,1,0,0,0,0.8,0.8,-1.1,-0.4,0.7,0.7,+0.2,+0.2,+0.3,0.06,14,0.07,0.33,3,21.4,17.5,0,Match Report
83,Wolfsburg,2025-04-19,1.6,@,Mainz 05,de Bundesliga,D 2-2,2,2,0,48,2,0,0,0,1.6,1.6,-1.1,-1.1,1.3,1.2,+0.4,+0.4,+0.7,0.11,16,0.13,0.5,4,25,17.4,1,Match Report
84,Stuttgart,2025-04-19,0.9,@,Union Berlin,de Bundesliga,D 4-4,4,4,0,77,4,0,0,0,0.9,0.9,-0.4,-0.4,0.8,1.6,+3.1,+3.1,+3.2,0.08,12,0.33,0.67,6,50,18.7,1,Match Report
85,Werder Bremen,2025-04-19,1.8,,Bochum,de Bundesliga,W 1-0,1,0,+1,48,1,0,0,0,1.8,1.8,+1.1,+1.1,1.5,1.8,-0.8,-0.8,-0.5,0.13,14,0.07,0.25,4,28.6,15.1,1,Match Report
86,Union Berlin,2025-04-19,1.3,,Stuttgart,de Bundesliga,D 4-4,4,4,0,23,4,0,0,0,1.3,1.3,+0.4,+0.4,0.8,1,+2.7,+2.7,+3.2,0.11,12,0.33,0.8,5,41.7,16.2,0,Match Report
87,Mainz 05,2025-04-19,2.7,,Wolfsburg,de Bundesliga,D 2-2,2,2,0,52,2,0,0,0,2.7,2.7,+1.1,+1.1,2.3,1.3,-0.7,-0.7,-1.3,0.15,18,0.11,0.29,7,38.9,14.7,0,Match Report
88,Freiburg,2025-04-19,1.3,,Hoffenheim,de Bundesliga,W 3-2,3,2,+1,40,3,0,0,0,1.3,1.3,-0.3,-0.3,1,1,+1.7,+1.7,+2.0,0.11,12,0.25,0.5,6,50,14.9,0,Match Report
89,RB Leipzig,2025-04-19,1.9,,Holstein Kiel,de Bundesliga,D 1-1,1,1,0,61,0,1,1,0,1.9,1.2,+1.1,+0.4,1.2,1.6,-0.9,-1.2,-1.2,0.13,9,0,0,3,33.3,15,0,Match Report
90,Bochum,2025-04-19,0.7,@,Werder Bremen,de Bundesliga,L 0-1,0,1,-1,52,0,0,0,0,0.7,0.7,-1.1,-1.1,0.3,0.6,-0.7,-0.7,-0.3,0.06,12,0,0,1,8.3,19.5,2,Match Report
91,Heidenheim,2025-04-13,1.7,@,Eint Frankfurt,de Bundesliga,L 0-3,0,3,-3,56,0,0,0,0,1.7,1.7,-2,-2,1.7,1,-1.7,-1.7,-1.7,0.12,14,0,0,3,21.4,19.4,0,Match Report
92,Stuttgart,2025-04-13,1.7,,Werder Bremen,de Bundesliga,L 1-2,1,2,-1,48,1,0,0,0,1.7,1.7,+0.2,+0.2,1.6,1.1,-0.7,-0.7,-0.6,0.14,12,0.08,0.25,4,33.3,17,0,Match Report
93,Werder Bremen,2025-04-13,1.5,@,Stuttgart,de Bundesliga,W 2-1,2,1,+1,52,2,0,0,0,1.5,1.5,-0.2,-0.2,1.3,1.5,+0.5,+0.5,+0.7,0.11,14,0.14,0.4,5,35.7,18,0,Match Report
94,Eint Frankfurt,2025-04-13,3.7,,Heidenheim,de Bundesliga,W 3-0,3,0,+3,44,3,0,0,0,3.7,3.7,+2.0,+2.0,2.7,2,-0.7,-0.7,+0.3,0.19,19,0.16,0.38,8,42.1,19.8,0,Match Report
95,Hoffenheim,2025-04-12,1.7,,Mainz 05,de Bundesliga,W 2-0,2,0,+2,36,2,0,0,0,1.7,1.7,+0.5,+0.5,1.6,0.8,+0.3,+0.3,+0.4,0.21,8,0.25,0.4,5,62.5,14.4,0,Match Report
96,Bayern Munich,2025-04-12,2.3,,Dortmund,de Bundesliga,D 2-2,2,2,0,62,2,0,0,0,2.3,2.3,+0.7,+0.7,1.7,2,-0.3,-0.3,+0.3,0.08,28,0.07,0.18,11,39.3,17.8,0,Match Report
97,Augsburg,2025-04-12,1.1,@,Bochum,de Bundesliga,W 2-1,2,1,+1,47,2,0,0,0,1.1,1.1,-1.7,-1.7,0.8,0.8,+0.9,+0.9,+1.2,0.09,12,0.17,0.5,4,33.3,19.6,2,Match Report
98,Holstein Kiel,2025-04-12,0.5,,St. Pauli,de Bundesliga,L 1-2,1,2,-1,51,1,0,0,0,0.5,0.5,-0.7,-0.7,0.3,0.2,+0.5,+0.5,+0.7,0.09,6,0.17,0.5,2,33.3,19.9,0,Match Report
99,Gladbach,2025-04-12,0.7,,Freiburg,de Bundesliga,L 1-2,1,2,-1,42,0,0,0,0,0.7,0.7,-0.9,-0.9,0.2,0.5,-0.7,-0.7,-0.2,0.07,10,0,0,1,10,17,0,Match Report
100,St. Pauli,2025-04-12,1.2,@,Holstein Kiel,de Bundesliga,W 2-1,2,1,+1,49,1,0,0,0,1.2,1.2,+0.7,+0.7,0.5,1,-0.2,-0.2,-0.5,0.09,14,0.07,0.17,6,42.9,15.8,0,Match Report
101,Union Berlin,2025-04-12,0.5,@,Leverkusen,de Bundesliga,D 0-0,0,0,0,26,0,0,0,0,0.5,0.5,-0.3,-0.3,0.5,0.2,-0.5,-0.5,-0.5,0.08,7,0,0,3,42.9,16.9,0,Match Report
102,Mainz 05,2025-04-12,1.2,@,Hoffenheim,de Bundesliga,L 0-2,0,2,-2,64,0,0,0,0,1.2,1.2,-0.5,-0.5,1.2,1.4,-1.2,-1.2,-1.2,0.09,14,0,0,1,7.1,15.2,0,Match Report
103,Freiburg,2025-04-12,1.6,@,Gladbach,de Bundesliga,W 2-1,2,1,+1,58,2,0,0,0,1.6,1.6,+0.9,+0.9,1.3,1.5,+0.4,+0.4,+0.7,0.09,19,0.11,0.29,7,36.8,13.1,0,Match Report
104,Dortmund,2025-04-12,1.6,@,Bayern Munich,de Bundesliga,D 2-2,2,2,0,38,2,0,0,0,1.6,1.6,-0.7,-0.7,1,0.6,+0.4,+0.4,+1.0,0.16,11,0.18,0.67,3,27.3,14.8,0,Match Report
105,Bochum,2025-04-12,2.8,,Augsburg,de Bundesliga,L 1-2,1,2,-1,53,1,0,0,0,2.8,2.8,+1.7,+1.7,2.1,2.4,-1.8,-1.8,-1.1,0.11,25,0.04,0.11,9,36,16.1,1,Match Report
106,Leverkusen,2025-04-12,0.8,,Union Berlin,de Bundesliga,D 0-0,0,0,0,74,0,0,0,0,0.8,0.8,+0.3,+0.3,0.6,1.2,-0.8,-0.8,-0.6,0.05,17,0,0,4,23.5,18.5,1,Match Report
